t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
62479.0,17:21:19,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,low,run13,boundary
62494.0,17:21:34,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,1,low,run13,boundary
62509.0,17:21:49,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,2,low,run13,boundary
62524.0,17:22:04,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,3,low,run13,boundary
62539.0,17:22:19,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,4,low,run13,boundary
62554.0,17:22:34,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,5,low,run13,boundary
62569.0,17:22:49,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,6,low,run13,boundary
62584.0,17:23:04,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,7,low,run13,boundary
62599.0,17:23:19,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,8,low,run13,boundary
62614.0,17:23:34,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,135.0,135,9,low,run13,boundary
62629.0,17:23:49,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,150.0,150,10,low,run13,boundary
62644.0,17:24:04,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,165.0,165,11,low,run13,boundary
62660.0,17:24:20,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,12,low,run13,boundary
62675.0,17:24:35,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,13,low,run13,boundary
62690.0,17:24:50,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,14,low,run13,boundary
62705.0,17:25:05,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,low,run13,boundary
62720.0,17:25:20,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,low,run13,boundary
62735.0,17:25:35,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,17,low,run13,boundary
62750.0,17:25:50,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,18,low,run13,boundary
62765.0,17:26:05,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,19,low,run13,boundary
62780.0,17:26:20,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,20,low,run13,boundary
62795.0,17:26:35,serverntp,127.127.1.0,9,u,4.0,64,1,1,,False,0.8976,0.1146,0.0,serverntp       127.127.1.0      9 u    4   64    1   0.8976   0.1146   0.0000,316.0,316,21,low,run13,boundary
62810.0,17:26:50,serverntp,127.127.1.0,9,u,19.0,64,1,1,,False,0.8976,0.1146,0.0,serverntp       127.127.1.0      9 u   19   64    1   0.8976   0.1146   0.0000,331.0,331,22,low,run13,boundary
62825.0,17:27:05,serverntp,127.127.1.0,9,u,34.0,64,1,1,,False,0.8976,0.1146,0.0,serverntp       127.127.1.0      9 u   34   64    1   0.8976   0.1146   0.0000,346.0,346,23,low,run13,boundary
62840.0,17:27:20,serverntp,127.127.1.0,9,u,49.0,64,1,1,,False,0.8976,0.1146,0.0,serverntp       127.127.1.0      9 u   49   64    1   0.8976   0.1146   0.0000,361.0,361,24,low,run13,boundary
62855.0,17:27:35,serverntp,127.127.1.0,9,u,,64,3,3,,False,1.597,0.5779,0.4633,serverntp       127.127.1.0      9 u    -   64    3   1.5970   0.5779   0.4633,376.0,376,25,low,run13,boundary
62870.0,17:27:50,serverntp,127.127.1.0,9,u,15.0,64,3,3,,False,1.597,0.5779,0.4633,serverntp       127.127.1.0      9 u   15   64    3   1.5970   0.5779   0.4633,391.0,391,26,low,run13,boundary
