t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
79774.0,22:09:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,medium,run09,client
79789.0,22:09:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,1,medium,run09,client
79804.0,22:10:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,2,medium,run09,client
79819.0,22:10:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,3,medium,run09,client
79834.0,22:10:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,4,medium,run09,client
79849.0,22:10:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,5,medium,run09,client
79864.0,22:11:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,6,medium,run09,client
79879.0,22:11:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,7,medium,run09,client
79894.0,22:11:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,8,medium,run09,client
79910.0,22:11:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,136.0,136,9,medium,run09,client
79925.0,22:12:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,151.0,151,10,medium,run09,client
79940.0,22:12:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,166.0,166,11,medium,run09,client
79955.0,22:12:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,12,medium,run09,client
79970.0,22:12:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,13,medium,run09,client
79985.0,22:13:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,14,medium,run09,client
80000.0,22:13:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,medium,run09,client
80015.0,22:13:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,medium,run09,client
80030.0,22:13:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,17,medium,run09,client
80045.0,22:14:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,18,medium,run09,client
80060.0,22:14:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,19,medium,run09,client
80075.0,22:14:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,20,medium,run09,client
80090.0,22:14:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,316.0,316,21,medium,run09,client
80105.0,22:15:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,331.0,331,22,medium,run09,client
80120.0,22:15:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,346.0,346,23,medium,run09,client
80136.0,22:15:36,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,362.0,362,24,medium,run09,client
80151.0,22:15:51,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,377.0,377,25,medium,run09,client
80166.0,22:16:06,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,392.0,392,26,medium,run09,client
80181.0,22:16:21,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,407.0,407,27,medium,run09,client
80196.0,22:16:36,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,422.0,422,28,medium,run09,client
80211.0,22:16:51,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,437.0,437,29,medium,run09,client
