t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
86003.0,23:53:23,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,medium,run13,boundary
86018.0,23:53:38,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,1,medium,run13,boundary
86033.0,23:53:53,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,2,medium,run13,boundary
86048.0,23:54:08,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,3,medium,run13,boundary
86063.0,23:54:23,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,4,medium,run13,boundary
86078.0,23:54:38,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,5,medium,run13,boundary
86093.0,23:54:53,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,6,medium,run13,boundary
86108.0,23:55:08,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,7,medium,run13,boundary
86123.0,23:55:23,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,8,medium,run13,boundary
86138.0,23:55:38,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,135.0,135,9,medium,run13,boundary
86153.0,23:55:53,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,150.0,150,10,medium,run13,boundary
86169.0,23:56:09,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,166.0,166,11,medium,run13,boundary
86184.0,23:56:24,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,12,medium,run13,boundary
86199.0,23:56:39,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,13,medium,run13,boundary
86214.0,23:56:54,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,14,medium,run13,boundary
86229.0,23:57:09,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,medium,run13,boundary
86244.0,23:57:24,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,medium,run13,boundary
86259.0,23:57:39,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,17,medium,run13,boundary
86274.0,23:57:54,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,18,medium,run13,boundary
86289.0,23:58:09,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,19,medium,run13,boundary
86304.0,23:58:24,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,20,medium,run13,boundary
86515.0,00:01:55,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    6   64   17   1.1483   0.3492   0.3385,512.0,512,21,medium,run13,boundary
86530.0,00:02:10,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   21   64   17   1.1483   0.3492   0.3385,527.0,527,22,medium,run13,boundary
86545.0,00:02:25,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   36   64   17   1.1483   0.3492   0.3385,542.0,542,23,medium,run13,boundary
86560.0,00:02:40,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64   17   1.1483   0.3492   0.3385,557.0,557,24,medium,run13,boundary
86575.0,00:02:55,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   66   64   17   1.1483   0.3492   0.3385,572.0,572,25,medium,run13,boundary
86590.0,00:03:10,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   14   64   37   1.7649   0.5333   0.2093,587.0,587,26,medium,run13,boundary
86605.0,00:03:25,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   29   64   37   1.7649   0.5333   0.2093,602.0,602,27,medium,run13,boundary
86620.0,00:03:40,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   44   64   37   1.7649   0.5333   0.2093,617.0,617,28,medium,run13,boundary
86636.0,00:03:56,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   59   64   37   1.7649   0.5333   0.2093,633.0,633,29,medium,run13,boundary
86651.0,00:04:11,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   10   64   77   0.7758   0.0052   0.5768,648.0,648,30,medium,run13,boundary
86666.0,00:04:26,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   25   64   77   0.7758   0.0052   0.5768,663.0,663,31,medium,run13,boundary
86681.0,00:04:41,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   40   64   77   0.7758   0.0052   0.5768,678.0,678,32,medium,run13,boundary
86696.0,00:04:56,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   55   64   77   0.7758   0.0052   0.5768,693.0,693,33,medium,run13,boundary
86711.0,00:05:11,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64  177   1.9283   0.5396   0.2768,708.0,708,34,medium,run13,boundary
86726.0,00:05:26,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64  177   1.9283   0.5396   0.2768,723.0,723,35,medium,run13,boundary
86741.0,00:05:41,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   35   64  177   1.9283   0.5396   0.2768,738.0,738,36,medium,run13,boundary
86756.0,00:05:56,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64  177   1.9283   0.5396   0.2768,753.0,753,37,medium,run13,boundary
86771.0,00:06:11,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    -   64  377   1.1390   0.1673   0.3919,768.0,768,38,medium,run13,boundary
86786.0,00:06:26,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   15   64  377   1.1390   0.1673   0.3919,783.0,783,39,medium,run13,boundary
86801.0,00:06:41,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   30   64  377   1.1390   0.1673   0.3919,798.0,798,40,medium,run13,boundary
86816.0,00:06:56,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   45   64  377   1.1390   0.1673   0.3919,813.0,813,41,medium,run13,boundary
86831.0,00:07:11,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   60   64  377   1.1390   0.1673   0.3919,828.0,828,42,medium,run13,boundary
86846.0,00:07:26,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    9   64  377   2.5582   0.6460   0.3415,843.0,843,43,medium,run13,boundary
86861.0,00:07:41,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   24   64  377   2.5582   0.6460   0.3415,858.0,858,44,medium,run13,boundary
