t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
2724.0,00:45:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,medium,run15,boundary
2739.0,00:45:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,1,medium,run15,boundary
2754.0,00:45:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,2,medium,run15,boundary
2769.0,00:46:09,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,3,medium,run15,boundary
2784.0,00:46:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,4,medium,run15,boundary
2799.0,00:46:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,5,medium,run15,boundary
2814.0,00:46:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,6,medium,run15,boundary
2829.0,00:47:09,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,7,medium,run15,boundary
2844.0,00:47:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,8,medium,run15,boundary
2859.0,00:47:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,135.0,135,9,medium,run15,boundary
2874.0,00:47:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,150.0,150,10,medium,run15,boundary
2889.0,00:48:09,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,165.0,165,11,medium,run15,boundary
2904.0,00:48:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,180.0,180,12,medium,run15,boundary
2919.0,00:48:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,195.0,195,13,medium,run15,boundary
2934.0,00:48:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,210.0,210,14,medium,run15,boundary
2950.0,00:49:10,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,medium,run15,boundary
2965.0,00:49:25,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,medium,run15,boundary
2980.0,00:49:40,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,17,medium,run15,boundary
2995.0,00:49:55,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,18,medium,run15,boundary
3010.0,00:50:10,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,19,medium,run15,boundary
3025.0,00:50:25,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,20,medium,run15,boundary
3040.0,00:50:40,serverntp,127.127.1.0,9,u,4.0,64,1,1,,False,1.4336,0.0913,0.0,serverntp       127.127.1.0      9 u    4   64    1   1.4336   0.0913   0.0000,316.0,316,21,medium,run15,boundary
3055.0,00:50:55,serverntp,127.127.1.0,9,u,19.0,64,1,1,,False,1.4336,0.0913,0.0,serverntp       127.127.1.0      9 u   19   64    1   1.4336   0.0913   0.0000,331.0,331,22,medium,run15,boundary
3070.0,00:51:10,serverntp,127.127.1.0,9,u,34.0,64,1,1,,False,1.4336,0.0913,0.0,serverntp       127.127.1.0      9 u   34   64    1   1.4336   0.0913   0.0000,346.0,346,23,medium,run15,boundary
3085.0,00:51:25,serverntp,127.127.1.0,9,u,49.0,64,1,1,,False,1.4336,0.0913,0.0,serverntp       127.127.1.0      9 u   49   64    1   1.4336   0.0913   0.0000,361.0,361,24,medium,run15,boundary
3100.0,00:51:40,serverntp,127.127.1.0,9,u,,64,3,3,,False,1.5502,0.2354,0.144,serverntp       127.127.1.0      9 u    -   64    3   1.5502   0.2354   0.1440,376.0,376,25,medium,run15,boundary
3115.0,00:51:55,serverntp,127.127.1.0,9,u,15.0,64,3,3,,False,1.5502,0.2354,0.144,serverntp       127.127.1.0      9 u   15   64    3   1.5502   0.2354   0.1440,391.0,391,26,medium,run15,boundary
3130.0,00:52:10,serverntp,127.127.1.0,9,u,30.0,64,3,3,,False,1.5502,0.2354,0.144,serverntp       127.127.1.0      9 u   30   64    3   1.5502   0.2354   0.1440,406.0,406,27,medium,run15,boundary
3145.0,00:52:25,serverntp,127.127.1.0,9,u,45.0,64,3,3,,False,1.5502,0.2354,0.144,serverntp       127.127.1.0      9 u   45   64    3   1.5502   0.2354   0.1440,421.0,421,28,medium,run15,boundary
3160.0,00:52:40,serverntp,127.127.1.0,9,u,60.0,64,3,3,,False,1.5502,0.2354,0.144,serverntp       127.127.1.0      9 u   60   64    3   1.5502   0.2354   0.1440,436.0,436,29,medium,run15,boundary
3176.0,00:52:56,serverntp,127.127.1.0,9,u,11.0,64,7,7,,False,1.4191,0.2383,0.104,serverntp       127.127.1.0      9 u   11   64    7   1.4191   0.2383   0.1040,452.0,452,30,medium,run15,boundary
3191.0,00:53:11,serverntp,127.127.1.0,9,u,26.0,64,7,7,,False,1.4191,0.2383,0.104,serverntp       127.127.1.0      9 u   26   64    7   1.4191   0.2383   0.1040,467.0,467,31,medium,run15,boundary
3206.0,00:53:26,serverntp,127.127.1.0,9,u,41.0,64,7,7,,False,1.4191,0.2383,0.104,serverntp       127.127.1.0      9 u   41   64    7   1.4191   0.2383   0.1040,482.0,482,32,medium,run15,boundary
3221.0,00:53:41,serverntp,127.127.1.0,9,u,56.0,64,7,7,,False,1.4191,0.2383,0.104,serverntp       127.127.1.0      9 u   56   64    7   1.4191   0.2383   0.1040,497.0,497,33,medium,run15,boundary
3236.0,00:53:56,serverntp,127.127.1.0,9,u,5.0,64,17,15,*,True,1.7393,0.6168,0.4339,*serverntp       127.127.1.0      9 u    5   64   17   1.7393   0.6168   0.4339,512.0,512,34,medium,run15,boundary
