role,scenario,run_id,source_file,convergence_time_s,fault_count,offset_mean_ns_s2,offset_std_ns_s2,offset_p50_ns_s2,offset_p95_ns_s2,offset_p99_ns_s2,offset_maxabs_ns_s2,path_delay_mean_ns_s2,path_delay_std_ns_s2
boundary,low,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run01/ptp_boundary.log,26.274000000000342,0,-52923.021929824565,428391.83817230584,-147592.0,698421.2999999995,1603713.639999996,2445994.0,669266.0833333334,124516.09498358911
boundary,low,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run02/ptp_boundary.log,26.185999999999694,0,30172.22807017544,337161.53915142955,-6878.0,510183.5499999996,1414538.3599999968,2487607.0,376554.98245614034,216777.0310450657
boundary,low,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run03/ptp_boundary.log,26.77899999999954,0,165282.24669603523,1101660.3065818676,-132156.0,1600314.2999999996,4304274.240000023,8939480.0,693032.3568281939,186335.28911952523
boundary,low,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run04/ptp_boundary.log,26.011000000000422,0,216991.14912280702,605211.1761273635,116569.5,1486351.3999999994,2682916.6999999993,3545496.0,744058.8157894737,115571.62410594449
boundary,low,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run05/ptp_boundary.log,24.837999999999738,0,155126.52401746725,1503755.7401113508,-88773.0,1370174.1999999995,2708906.28,20977239.0,750268.3318777293,97384.35797262442
boundary,low,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run06/ptp_boundary.log,26.17200000000048,0,55244.570175438595,778091.9813463216,-98724.5,1468811.4999999986,3166376.75,6256330.0,946123.0,207688.94346505296
boundary,low,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run07/ptp_boundary.log,25.037000000000262,0,15084.52966101695,556609.4668368049,-112021.5,868228.75,2354738.4500000025,3952087.0,652391.966101695,158227.7158251135
boundary,low,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run08/ptp_boundary.log,25.389000000000124,0,81770.1615720524,556538.746020677,-80943.0,1254606.2,1842635.16,2823277.0,551534.7510917031,218898.64865672513
boundary,low,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run09/ptp_boundary.log,27.40100000000075,0,72851.30837004405,580023.6065052106,-52977.0,1475809.9999999988,2455839.900000001,2745516.0,588985.5286343612,174311.28894134163
boundary,low,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run10/ptp_boundary.log,26.39599999999973,0,128058.49561403508,819260.0202583618,-109433.0,1278845.8499999987,4362280.639999997,5221160.0,544582.5789473684,148023.1311815226
boundary,low,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run11/ptp_boundary.log,23.916000000000167,0,-44750.71304347826,385041.11636306864,-78965.0,668955.5499999996,1331566.860000002,1860442.0,877339.0826086956,134559.1896863117
boundary,low,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run12/ptp_boundary.log,25.903000000000247,0,117990.33771929824,676012.9161869416,-48174.5,1279747.6499999997,1883943.8099999987,5509957.0,661291.552631579,159825.3426358085
boundary,low,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run13/ptp_boundary.log,27.36199999999917,0,142268.06666666668,1330258.1469195657,-61521.0,1404015.1999999974,3381324.0600000033,15927145.0,880365.1641025641,128539.83450747888
boundary,low,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run14/ptp_boundary.log,27.05199999999968,0,190461.10714285713,756192.4799119931,-18918.0,1991309.75,3041988.8000000073,3806979.0,738809.3928571428,130416.60041587728
boundary,low,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/low/run15/ptp_boundary.log,25.766999999999825,0,165582.59734513273,1104148.1943103718,-105845.5,1462795.75,4481073.5,10918274.0,801289.7699115045,201091.2957653265
boundary,medium,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run01/ptp_boundary.log,26.81999999999971,0,244883.17621145374,1211816.5480366324,-118427.0,3025307.599999996,4586021.2,5997944.0,967208.5462555066,246151.39412212683
