sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,66069.8,1170828.0428076899,-582377.6440825535,714517.2440825535,-820860.0,-618456.5,-323445.0,669375.5,1537689.1999999997,-1758537.0,2821109.0
1,15.0,59292.933333333334,727682.1689617824,-343724.0984727803,462309.965139447,-590549.0,-429213.5,-31949.0,246360.5,500724.99999999994,-842276.0,2253062.0
2,15.0,1595.6666666666667,1101290.9236259747,-608339.5744675215,611530.9078008548,-1000142.3999999999,-606157.0,-127944.0,684029.0,1484838.3999999997,-2131078.0,1995394.0
3,15.0,109186.26666666666,820626.8966292492,-345306.9588189123,563679.4921522456,-582424.0,-285556.5,-13328.0,644698.0,1206616.4,-1569392.0,1476638.0
4,15.0,-322534.6666666667,335027.5639729762,-508085.1998043187,-136984.13352901462,-681242.4,-454217.0,-354171.0,-200522.0,17201.799999999872,-932002.0,459847.0
5,15.0,-150691.33333333334,415922.2388465123,-381044.29965822125,79661.63299155456,-692912.0,-357751.5,-139754.0,-17482.0,296631.6,-812366.0,780695.0
6,15.0,84844.66666666667,646538.1926372692,-273231.8596796129,442921.1930129463,-448003.6,-365960.0,-185494.0,297708.5,991444.3999999997,-575197.0,1587572.0
7,15.0,232173.86666666667,848485.1372648842,-237748.27261012504,702096.0059434584,-559870.2,-313476.0,71702.0,412266.0,1321640.1999999997,-600992.0,2429296.0
8,15.0,-265907.5333333333,370042.011131529,-470850.3494841935,-60964.71718247319,-557508.8,-506882.5,-450870.0,-45660.0,120941.19999999998,-634543.0,705920.0
9,15.0,152207.33333333334,619860.24664374,-191093.9696151601,495508.63628182677,-429299.8,-290248.5,-12977.0,471073.5,759701.7999999999,-589814.0,1785498.0
10,15.0,-109799.8,521602.97877753736,-398682.62996967434,179083.02996967436,-541426.6,-441593.5,-234236.0,94624.0,594119.1999999997,-859200.0,1080533.0
11,15.0,23599.6,570274.6410874325,-292239.37884053343,339438.5788405334,-487439.0,-383114.0,-127935.0,100454.0,954714.5999999997,-554055.0,1227961.0
12,15.0,-16619.866666666665,581932.9189933526,-338915.6267202374,305675.8933869041,-455920.8,-348324.0,-286818.0,165964.5,483098.9999999999,-513232.0,1732250.0
13,15.0,283498.8,658126.3263663421,-80995.659145604,647993.259145604,-340960.0,-210347.5,158621.0,494928.0,1010134.7999999999,-438094.0,2012477.0
14,15.0,-207743.33333333334,435009.2371591775,-448667.3782611692,33180.7115945025,-483392.0,-384819.5,-269898.0,-75360.0,-7467.200000000019,-1021699.0,1071083.0
15,15.0,29833.733333333334,315166.4074887303,-144716.96405743252,204384.4307240992,-309282.39999999997,-177328.0,-68085.0,234288.5,370830.6,-389413.0,772060.0
16,15.0,-58948.066666666666,483969.42306977947,-326988.0554007367,209091.9220674034,-397604.8,-324847.5,-87057.0,108913.5,409500.6,-1105054.0,1074625.0
17,15.0,-124126.73333333334,393412.18136461754,-342012.8055400356,93759.33887336895,-635864.4,-308952.5,-189380.0,141943.0,322692.39999999997,-750247.0,650189.0
18,15.0,719933.9333333333,2960791.594842319,-919860.87166004,2359728.738326707,-608063.6,-310142.0,-142075.0,351116.5,1077368.1999999997,-724442.0,11240482.0
19,15.0,86713.0,616314.6457382208,-254624.619332403,428050.619332403,-333545.2,-240744.5,-138144.0,312169.5,431009.0,-528380.0,2035537.0
20,15.0,-19303.666666666668,341098.23170075356,-208216.35789075453,169609.02455742122,-326234.0,-256912.5,-89702.0,208508.5,386134.6,-606224.0,644756.0
21,15.0,163428.33333333334,956780.2710982336,-366471.6166665552,693328.2833332219,-414415.0,-337641.0,-113807.0,257130.0,352307.0,-494363.0,3453068.0
22,15.0,-183307.26666666666,327056.2291374957,-364442.98267404386,-2171.550659289438,-584458.6,-378315.0,-177717.0,-11346.0,147866.19999999995,-787302.0,490669.0
23,15.0,149651.73333333334,566723.9843605484,-164220.76179210114,463524.2284587678,-356176.4,-279359.0,88213.0,214000.0,796273.5999999999,-515747.0,1665073.0
24,15.0,77539.66666666667,331687.95016845636,-106161.26605436865,261240.599387702,-264105.39999999997,-116315.0,-21551.0,354289.5,548502.2,-461522.0,601397.0
25,15.0,360759.3333333333,614141.2402554675,20625.42554414441,700893.2411225222,-340941.6,-68507.0,165374.0,886517.5,1138174.4,-528365.0,1463061.0
26,15.0,-35595.666666666664,484413.5956111806,-303881.65441910026,232690.32108576692,-354963.0,-322180.5,-261289.0,103407.0,529426.4,-575347.0,1275563.0
27,15.0,95434.66666666667,565002.0686768282,-217484.16849914083,408353.5018324742,-411097.0,-244210.0,-9109.0,223090.5,518234.7999999998,-561199.0,1780720.0
28,15.0,-37922.26666666667,491594.8786276397,-310185.51192148245,234340.97858814913,-401769.6,-294216.0,-198692.0,-92428.0,707955.7999999998,-457898.0,1197594.0
29,15.0,254353.33333333334,620782.3151240776,-89458.6449043428,598165.3115710095,-379344.6,-134294.5,92652.0,392572.0,1207917.9999999998,-445149.0,1604638.0
30,15.0,-19886.933333333334,941481.3088217846,-541313.7577993571,501539.89113269036,-638964.2,-348480.5,-185149.0,-86932.0,173383.99999999994,-806615.0,3234191.0
31,15.0,91156.13333333333,451580.961633818,-158945.93944037805,341258.2061070447,-407320.6,-239982.0,-17178.0,411088.0,648137.7999999999,-503929.0,1032114.0
32,15.0,33676.066666666666,536787.8754186752,-263616.7151111238,330968.8484444571,-327779.6,-284433.5,-79409.0,140380.0,408305.99999999994,-394187.0,1732922.0
33,15.0,93501.33333333333,508469.3180882159,-188107.5944115402,375110.2610782068,-309444.19999999995,-165981.5,2332.0,201976.0,315050.19999999995,-503989.0,1718050.0
34,15.0,-53212.13333333333,345719.02603783953,-244683.98966789225,138259.7230012256,-389281.0,-259027.5,-86746.0,3313.0,276424.79999999993,-423286.0,933798.0
35,15.0,289023.0,661606.2391178868,-77398.76225662115,655444.7622566212,-475561.2,-276632.0,278565.0,578811.0,1050780.6,-495306.0,1790515.0
36,15.0,-140964.93333333332,343508.81011419004,-331212.6911545664,49282.82448789978,-473922.8,-348570.5,-198232.0,-16860.0,343907.9999999999,-608283.0,601661.0
37,15.0,56450.333333333336,382020.0392318009,-155126.3533969711,268027.02006363776,-481367.99999999994,-132345.5,102410.0,304027.5,501192.0,-626911.0,664354.0
38,15.0,-189951.46666666667,264949.935817496,-336690.44319365034,-43212.49013968301,-382650.6,-326340.0,-261708.0,-197435.5,22051.0,-419424.0,646508.0
39,15.0,-91196.0,363870.617018899,-292720.872104043,110328.87210404302,-527310.2,-287936.0,-123730.0,55112.5,307713.79999999993,-626204.0,761345.0
40,15.0,182136.86666666667,1459196.5399333814,-626019.6107481157,990293.3440814491,-527828.2,-438556.0,-231002.0,-53056.0,667672.3999999997,-569145.0,5259847.0
41,15.0,207266.53333333333,840606.1915062816,-258291.95726710866,672825.0239337753,-440007.8,-325942.5,14049.0,355929.0,1277558.1999999997,-628886.0,2392512.0
42,15.0,-131080.93333333332,524245.0636077241,-421427.0466311687,159265.17996450208,-465974.0,-432081.0,-307395.0,-159984.5,487061.3999999999,-538505.0,1393248.0
43,15.0,300626.6,921348.5151190695,-209649.94608059968,810903.1460805996,-452263.39999999997,-230076.0,129385.0,312066.0,1600234.1999999993,-557577.0,2550234.0
44,15.0,143619.2,1076940.8777320003,-452830.09405576304,740068.4940557631,-426238.6,-310475.0,-194190.0,40149.5,432779.59999999986,-472181.0,3901529.0
45,15.0,57122.666666666664,459830.2621860541,-197548.1708299485,311793.5041632818,-451038.6,-267876.5,-44271.0,355293.0,734063.6,-610766.0,849634.0
46,15.0,-12730.466666666667,568196.5326726894,-327418.5129698865,301957.5796365531,-412247.0,-340896.0,-211806.0,61490.5,441849.1999999999,-582756.0,1745258.0
47,15.0,-12082.466666666667,372540.3904138385,-218408.9767509907,194244.04341765735,-531296.2,-270146.5,36085.0,276994.5,397893.2,-596554.0,598130.0
