sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,892461.4666666667,472863.6832821102,630572.2433026254,1154350.690030708,461814.4,521865.0,685271.0,1259886.5,1419328.2,190845.0,1894413.0
1,15.0,966408.0,379450.4953482074,756254.420765292,1176561.579234708,623020.6,705506.0,888763.0,1175230.0,1376248.2,456368.0,1894413.0
2,15.0,992024.8,452157.5115681007,741603.4127602847,1242446.1872397154,631413.2,699832.0,831131.0,1175230.0,1410509.4,607483.0,2295235.0
3,15.0,901239.2666666667,352257.5723960415,706146.1239271257,1096332.4094062077,585099.4,664806.5,831131.0,991643.0,1254455.5999999999,539581.0,1894413.0
4,15.0,877797.0,155522.78171518334,791662.7884739578,963931.2115260422,671344.4,791595.5,919371.0,979857.0,1035423.4,570177.0,1121701.0
5,15.0,834129.8,176173.1374829886,736558.6652645365,931700.9347354636,647974.8,717864.5,758008.0,979857.0,1035423.4,555092.0,1162908.0
6,15.0,784972.8,156558.11080335086,698265.1853127246,871680.4146872755,634984.4,680854.5,742838.0,923106.0,1007040.0,547130.0,1053579.0
7,15.0,794979.1333333333,182259.68999709754,694037.0429350863,895921.2237315803,618096.0,652841.5,724783.0,977215.0,1002424.4,555092.0,1146980.0
8,15.0,784748.3333333334,169656.09725756003,690786.5741189995,878710.0925476672,611717.2,660859.5,719507.0,867122.0,1019962.6,588749.0,1146980.0
9,15.0,748784.6666666666,169080.47269851237,655141.7094116457,842427.6239216876,562270.4,620606.5,702117.0,834403.0,1019962.6,555092.0,1053579.0
10,15.0,734062.2666666667,203146.46130192679,621552.3174774102,846572.2158559232,562270.4,607961.0,719507.0,812541.0,1016857.4,353274.0,1130032.0
11,15.0,707665.5333333333,199074.3597413025,597410.8631026328,817920.2035640338,504145.4,588796.5,724783.0,803351.5,959951.2,273257.0,1024125.0
12,15.0,678604.6666666666,222196.3221267775,555544.2069751333,801665.1263582,504145.4,567321.5,627173.0,752284.0,930619.2,223524.0,1178136.0
13,15.0,676215.4,212201.41700947375,558690.4847609391,793740.3152390609,552669.2,567321.5,615663.0,763505.5,891475.7999999999,223524.0,1178136.0
14,15.0,713776.3333333334,295437.095822847,550152.4512010841,877400.2154655827,556091.6,593677.5,643825.0,761028.5,964460.3999999999,203434.0,1561118.0
15,15.0,664520.8,252001.7882505145,524952.9817374516,804088.6182625485,447284.8,562773.5,630266.0,723819.0,954090.9999999999,203434.0,1277020.0
16,15.0,691669.6666666666,289101.13659871113,531554.8707661151,851784.4625672181,537229.0,572696.5,614642.0,746267.5,954090.9999999999,191024.0,1508468.0
17,15.0,690287.9333333333,290083.41349674546,529629.1165171363,850946.7501495304,532131.4,570511.0,614642.0,746267.5,954090.9999999999,187413.0,1508468.0
18,15.0,681264.4,296121.48624648736,517261.4773897827,845267.3226102174,471190.0,561970.0,614642.0,746267.5,954090.9999999999,187413.0,1508468.0
19,15.0,653858.5333333333,246492.9405905592,517341.71663064836,790375.3500360183,436539.6,533829.0,612785.0,772059.5,954090.9999999999,186659.0,1189674.0
20,15.0,650323.6666666666,233213.17165468616,521161.67228598864,779485.6610473446,436539.6,530227.5,626659.0,786150.0,872864.7999999999,188405.0,1189674.0
21,15.0,633213.4666666667,201190.8739924306,521786.5933400981,744640.3399932353,436539.6,490433.5,654758.0,764922.0,885452.8,188405.0,915298.0
22,15.0,631597.2666666667,201423.03260851157,520041.8153972104,743152.717936123,436539.6,490433.5,639822.0,777834.5,811755.0,197881.0,1017977.0
23,15.0,598877.9333333333,165502.90167264943,507216.3659177474,690539.5007489193,443609.0,488879.5,603110.0,711628.5,771151.2,197881.0,819919.0
24,15.0,609363.7333333333,144234.5329699745,529481.3673212109,689246.0993454556,515641.2,543472.5,641262.0,709837.0,734308.2,197881.0,795658.0
25,15.0,624955.8666666667,160072.9980008526,536301.578739491,713610.1545938425,515641.2,538901.5,627220.0,729209.0,776972.8,207547.0,886324.0
26,15.0,642077.6666666666,158681.02257794078,554194.3057007622,729961.0276325711,515641.2,584765.5,655457.0,740573.5,773191.0,201087.0,886324.0
27,15.0,666304.3333333334,211875.4886897581,548959.9291327397,783648.7375339271,463510.6,537065.0,668120.0,770481.0,916065.6,201087.0,1043630.0
28,15.0,669656.4,208658.2286453137,554093.8322232813,785218.9677767188,484951.8,555533.5,648852.0,809701.0,916065.6,216877.0,1043630.0
29,15.0,681150.7333333333,219657.19653017342,559496.5343761893,802804.9322904772,484951.8,553366.0,655457.0,809701.0,957068.4,216877.0,1063686.0
30,15.0,696614.6666666666,211770.84455665303,579328.2182188985,813901.1151144347,517842.0,589086.0,676860.0,828497.5,957068.4,216877.0,1063686.0
31,15.0,673530.1333333333,180753.27154868422,573422.352634613,773637.9140320536,486420.0,632555.5,677898.0,761213.5,869931.0,216877.0,959516.0
32,15.0,655684.5333333333,169715.11300448116,561690.089037286,749678.9776293806,499234.2,611602.5,668489.0,717587.5,826672.4,225014.0,967808.0
33,15.0,672373.8666666667,188086.113356875,568204.8896568465,776542.8436764869,464179.0,599539.5,693676.0,804659.0,844682.4,225014.0,985251.0
34,15.0,673748.4666666667,157044.58104530457,586771.426945583,760725.5063877504,464179.0,599539.5,714537.0,793218.0,831373.4,326770.0,862357.0
35,15.0,679371.0,148245.6674052519,597267.1208558639,761474.8791441361,476219.8,615041.0,668120.0,768881.0,831093.0,423134.0,971952.0
36,15.0,692320.0666666667,114221.212623617,629060.1765053581,755579.9568279752,528903.0,668462.0,719067.0,754714.5,784826.8,423134.0,824676.0
37,15.0,704192.2666666667,136767.15453879302,628445.608273987,779938.9250593465,510034.2,607794.5,746152.0,803148.5,831093.0,423134.0,851874.0
38,15.0,691295.7333333333,129864.50347379471,619372.0158652305,763219.4508014361,510034.2,607794.5,728933.0,785015.0,821556.2,423134.0,835371.0
39,15.0,709588.8666666667,134117.16035129598,635309.8720938553,783867.8612394781,510034.2,654256.5,757900.0,788159.5,831323.2,423134.0,871205.0
40,15.0,695728.3333333334,125872.8062323611,626015.3639675325,765441.3026991342,499745.80000000005,653415.0,746152.0,776581.5,792483.6,423134.0,833130.0
41,15.0,667422.4,108001.89601761628,607606.9951171875,727237.8048828125,518751.4,622478.0,703094.0,738699.5,778919.2,423134.0,790482.0
42,15.0,660200.1333333333,100049.65926469192,604788.9683633327,715611.2983033339,505466.6,609830.0,703094.0,727049.5,746215.6,458573.0,784642.0
43,15.0,637575.5333333333,96332.1374270636,584223.2680871132,690927.7985795535,531996.8,569814.5,640812.0,699318.0,736475.6,443794.0,809977.0
44,15.0,649612.7333333333,106799.57755030593,590463.2164448252,708762.2502218414,546037.2,577447.5,638861.0,712613.5,790890.2,443794.0,838806.0
45,15.0,650201.2666666667,122224.85367987424,582508.6670070116,717893.8663263218,498113.8,575075.0,627775.0,734339.0,813484.0,466970.0,864855.0
46,15.0,636277.5333333333,118189.49484974582,570819.8631626215,701735.2035040451,498113.8,575075.0,608595.0,685427.5,826164.0,466970.0,838806.0
47,15.0,643702.4,186973.24965765254,540149.7676582171,747255.0323417829,470932.2,540592.5,605054.0,822204.0,835228.4,252110.0,968869.0
48,15.0,645438.6666666666,189170.89009512262,540668.9005762996,750208.4327570336,470932.2,540592.5,634991.0,814539.0,833406.4,222031.0,968869.0
49,15.0,683314.1333333333,160542.04528358948,594400.0698451664,772228.1968215002,509877.8,573980.5,641124.0,834334.0,874694.6,419893.0,968869.0
50,15.0,684781.9333333333,156229.62877054067,598256.24402435,771307.6226423167,509877.8,594742.5,658956.0,834334.0,862721.0,419893.0,968869.0
51,15.0,697218.0,183318.23154636234,595689.6505295583,798746.3494704417,509877.8,564670.0,658956.0,798471.0,955137.0,419893.0,1037385.0
52,15.0,695748.2,168581.37301535674,602381.6624257962,789114.7375742038,522724.6,584129.5,649217.0,800327.5,906967.4,419893.0,1045706.0
53,15.0,711079.6,160087.94982571297,622417.031204703,799742.1687952969,530889.8,640145.0,682881.0,809042.5,894202.6,419893.0,1045706.0
54,15.0,746484.9333333333,181536.27398498732,645943.4972130078,847026.3694536589,537794.0,644075.0,729226.0,846923.5,960237.7999999999,483468.0,1152995.0
55,15.0,750264.8,202933.18283056334,637872.972238124,862656.6277618761,537794.0,634893.5,700333.0,855941.0,1026969.3999999999,419893.0,1152995.0
56,15.0,777740.2666666667,230113.63111157148,650294.9113393148,905185.6219940187,537794.0,634893.5,742051.0,855941.0,1090137.6,436714.0,1281189.0
57,15.0,793286.9333333333,219005.31784752454,671993.7686614649,914580.0980052018,619666.0,677032.5,742051.0,906975.0,1045842.2,369851.0,1281189.0
58,15.0,832890.6,254288.255602574,692056.4523908587,973724.7476091413,634230.0,699613.0,796251.0,879926.5,1045842.2,433426.0,1562554.0
59,15.0,808722.6,204506.642750233,695459.3325168567,921985.8674831432,599202.8,699613.0,806887.0,879926.5,1029181.2,433426.0,1281189.0
60,15.0,791247.3333333334,194986.23602217474,683256.8157192755,899237.8509473912,569432.6,680944.0,796251.0,859730.5,1039096.4,433426.0,1171606.0
61,15.0,806151.6,248544.72377990358,668498.4306338177,943804.7693661823,575060.2,683522.0,786342.0,829331.0,1039096.4,433426.0,1494232.0
62,15.0,776169.8666666667,249874.9931851258,637779.9453913919,914559.7879419415,593550.2,644606.5,739594.0,794374.0,995103.4,381923.0,1494232.0
63,15.0,774792.1333333333,250337.14965760722,636146.252880118,913438.0137865486,593550.2,644606.5,722039.0,797860.5,995103.4,381923.0,1494232.0
64,15.0,771616.4666666667,258868.01569494465,628245.8802143906,914987.0531189428,590370.6,665323.0,722039.0,797397.0,901299.6,381923.0,1580068.0
65,15.0,796875.5333333333,263278.26860048034,651062.3873250918,942688.6793415749,596068.6,670630.0,783045.0,817436.5,979242.7999999999,381923.0,1580068.0
66,15.0,784260.2666666667,236749.15989154507,653139.912517804,915380.6208155295,559753.8,669184.0,776400.0,799153.5,924929.6,480410.0,1508470.0
67,15.0,749797.4,243153.3512506048,615130.1701645596,884464.6298354404,579954.2,631946.5,692841.0,788216.5,902366.0,430102.0,1508470.0
68,15.0,765129.1333333333,231627.71971570075,636845.2202933494,893413.0463733173,579292.4,664928.0,692841.0,818780.5,864579.7999999999,513229.0,1508470.0
69,15.0,732646.2666666667,144279.23466343546,652739.1432197964,812553.3901135371,584690.0,636713.0,679369.0,810913.0,850338.8,560644.0,1113541.0
70,15.0,722713.0,152922.74810831776,638018.7822947905,807407.2177052095,575873.6,618835.0,679369.0,787320.0,881888.6,509001.0,1113541.0
71,15.0,706791.7333333333,117740.53102507508,641582.7157691094,772000.7508975571,560677.2,611610.0,692841.0,817021.5,848874.0,531338.0,889526.0
72,15.0,702282.9333333333,120183.08687252762,635721.1388980403,768844.7277686264,550929.6,606162.0,719842.0,826568.5,848874.0,531338.0,850311.0
73,15.0,681496.9333333333,114633.79971361392,618008.537333261,744985.3293334057,556388.4,573349.5,718336.0,766147.5,825953.4,513949.0,850311.0
74,15.0,675390.2,108427.36664843559,615339.1539017401,735441.2460982598,557239.6,573349.5,718336.0,744599.5,814635.8,526594.0,850311.0
75,15.0,662899.6,104402.17821810862,605077.8506508486,720721.3493491514,542997.8,596339.5,628188.0,723192.5,773651.4,526594.0,906095.0
76,15.0,659042.9333333333,106301.4978663899,600169.2712127126,717916.5954539541,526848.0,583185.0,665316.0,709440.5,790533.0,480054.0,852275.0
77,15.0,652676.8,118304.89775225466,587155.2154759968,718198.3845240033,501794.4,563707.5,665316.0,709440.5,790533.0,480054.0,886620.0
78,15.0,650985.4666666667,121899.13241392109,583473.263371523,718497.6699618103,503553.0,569705.5,631532.0,725561.0,802204.7999999999,465205.0,886439.0
79,15.0,646693.1333333333,127241.46092812598,576222.1528789254,717164.1137877412,488358.60000000003,567633.0,661305.0,709926.5,790330.7999999999,440854.0,906129.0
80,15.0,654888.1333333333,119394.01842869844,588763.3538967416,721012.912769925,512782.2,567633.0,661305.0,719531.5,795253.2,487976.0,906129.0
81,15.0,669767.6,117572.61289991936,604651.5816423985,734883.6183576015,534721.8,611848.0,644599.0,728974.5,825790.2,487976.0,906129.0
82,15.0,642868.2,133604.02139061104,568873.4005739988,716862.9994260011,485001.60000000003,572800.0,629115.0,728974.5,821352.2,390236.0,853942.0
83,15.0,654689.5333333333,139212.81409916806,577588.3791197145,731790.6875469522,485001.60000000003,569482.5,675700.0,738645.0,828290.0,390236.0,870929.0
