sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-51681.4,840318.3789615355,-517080.4894738957,413717.68947389565,-1178816.4,-388121.0,-12033.0,423457.5,849393.0,-1532463.0,1628076.0
1,15.0,109391.8,614155.0769929134,-230749.7710810671,449533.3710810671,-486790.39999999997,-327003.5,9031.0,448449.0,927240.7999999998,-751339.0,1377915.0
2,15.0,145422.53333333333,807897.9635425915,-302020.9428943208,592866.0095609875,-560348.6,-515758.0,108162.0,666185.0,1302337.5999999999,-1010038.0,1617472.0
3,15.0,65308.666666666664,575089.5344935016,-253196.97645635894,383814.3097896923,-615253.0,-285406.5,-79911.0,531524.0,884090.4,-810888.0,949716.0
4,15.0,-706.4666666666667,555689.9197130493,-308467.8927393353,307054.95940600196,-415731.0,-314102.5,-46284.0,201946.0,773041.2,-1133148.0,1050303.0
5,15.0,211350.46666666667,971317.1425050969,-326600.5350368797,749301.468370213,-549740.7999999999,-287411.0,-36600.0,142699.5,1575530.7999999993,-810841.0,2666628.0
6,15.0,159463.2,548090.9991306448,-144089.66559300147,463016.0655930015,-438940.8,-304918.5,186258.0,437902.5,630414.2,-586050.0,1473240.0
7,15.0,229144.13333333333,768524.562441925,-196492.91156958192,654781.1782362486,-375255.0,-228677.0,-28617.0,341238.0,1139998.3999999997,-588004.0,2338509.0
8,15.0,27365.466666666667,631206.2372113828,-322219.6613314299,376950.59466476325,-563818.0,-417773.0,-215294.0,353787.5,839377.5999999999,-664865.0,1539776.0
9,15.0,-83814.8,532970.8512895562,-378993.5740413571,211363.9740413571,-685357.4,-386612.0,-170103.0,31498.5,560614.3999999998,-733708.0,1219539.0
10,15.0,77795.8,539327.6933302106,-220903.6259415404,376495.2259415404,-511990.39999999997,-271009.5,-32031.0,366560.0,892562.3999999999,-685265.0,1050923.0
11,15.0,-27956.866666666665,294798.3594851298,-191226.9932255167,135313.25989218336,-338587.8,-237122.0,-153491.0,159546.5,363795.6,-382552.0,573058.0
12,15.0,146740.86666666667,766809.5832655184,-277946.35996837646,571428.0933017097,-575273.2,-389038.5,-159962.0,749833.5,1201546.7999999998,-691169.0,1744108.0
13,15.0,244574.93333333332,399034.37407580146,23575.084926870535,465574.7817397961,-26447.8,-13113.0,92796.0,335580.0,648939.7999999999,-56867.0,1423360.0
14,15.0,-203202.0,267845.06140517665,-351544.40309261973,-54859.59690738024,-484090.8,-370066.5,-216610.0,-40821.0,60011.19999999996,-671650.0,382521.0
15,15.0,290461.93333333335,961141.3550707353,-241853.3446669135,822777.2113335802,-266179.8,-161709.5,8546.0,218320.5,1000441.1999999997,-576843.0,3375527.0
16,15.0,-58078.4,388420.35112450755,-273199.8138263555,157043.01382635548,-570837.7999999999,-292740.5,-17081.0,159894.5,449527.99999999994,-705905.0,574056.0
17,15.0,44756.26666666667,991696.0627612725,-504481.3273203973,593993.8606537307,-456152.8,-315472.5,-168321.0,-38061.0,131831.79999999993,-637535.0,3545496.0
18,15.0,55461.933333333334,467986.0954377455,-203725.90327251097,314649.7699391776,-435068.6,-319392.0,82626.0,234729.0,713660.5999999999,-535641.0,992757.0
19,15.0,-217178.4,360437.2254528024,-416801.7341290633,-17555.06587093664,-604346.0,-395664.0,-236667.0,-24055.0,271098.5999999999,-923938.0,402812.0
20,15.0,-72903.06666666667,401371.1045768112,-295197.0819921724,149390.94865883904,-452716.19999999995,-266596.0,-70798.0,52869.5,144298.59999999998,-738456.0,1072018.0
21,15.0,-39189.8,397023.92751574627,-259076.18948195147,180696.58948195144,-459537.0,-324630.5,-76185.0,195440.5,393599.0,-566266.0,900715.0
22,15.0,-23299.866666666665,782809.7778959792,-456848.5869913086,410248.8536579753,-539022.4,-496756.0,-235741.0,-31094.0,903905.5999999995,-595773.0,2154187.0
23,15.0,130841.0,664925.3109011567,-237418.98574965156,499100.98574965156,-428028.19999999995,-283649.0,-193143.0,435131.5,1033655.3999999999,-572760.0,1729485.0
24,15.0,3216.4,501741.6715050542,-274666.51071074064,281099.3107107407,-440874.19999999995,-257948.5,-159079.0,212076.0,586885.5999999999,-732886.0,1255436.0
25,15.0,1446.2666666666667,508508.02469893184,-280184.0982165997,283076.63154993305,-448882.0,-259795.5,-8339.0,156026.0,297636.19999999995,-729380.0,1496037.0
26,15.0,-197496.53333333333,311648.66080454557,-370098.9737957638,-24894.09287090288,-525843.8,-461793.5,-275701.0,90272.5,229677.59999999992,-562084.0,315200.0
27,15.0,-31311.4,328633.6535111921,-213320.75138845682,150697.95138845683,-452903.39999999997,-222460.0,93422.0,117045.5,274513.19999999995,-616363.0,644654.0
28,15.0,86419.2,653965.1159619841,-275770.62844635546,448609.0284463555,-423288.4,-340488.5,-179901.0,337377.0,866274.0,-483549.0,1787008.0
29,15.0,94091.2,382022.6077149287,-117486.90925031462,305669.3092503146,-413531.39999999997,-128816.0,159247.0,269310.5,504251.7999999999,-517260.0,879482.0
30,15.0,-108762.73333333334,246775.8857718785,-245436.25543846324,27910.788771796564,-383424.0,-292133.0,-102806.0,-24320.0,223437.39999999997,-519246.0,371614.0
31,15.0,106178.93333333333,759533.872354473,-314478.7381734971,526836.6048401637,-527141.2,-337762.5,-66875.0,176055.5,1152338.5999999996,-630151.0,1951383.0
32,15.0,553810.1333333333,1565766.710427554,-313368.8069417267,1420989.0736083933,-367843.39999999997,-178344.5,-37369.0,488922.0,1877882.3999999994,-442508.0,5509957.0
33,15.0,-28650.0,437563.3883646378,-270988.6273946252,213688.62739462525,-513476.39999999997,-363962.0,-34862.0,215534.0,424433.5999999999,-613070.0,1001950.0
34,15.0,-92616.53333333334,408545.25155305915,-318883.8539608412,133650.7872941745,-506723.39999999997,-319263.0,-196360.0,116864.0,335077.19999999995,-626035.0,961379.0
35,15.0,-60915.53333333333,347522.6790802635,-253386.31876986937,131555.2521032027,-475264.4,-387629.5,2084.0,247532.5,316485.0,-561656.0,510437.0
36,15.0,-82057.53333333334,358851.92185294535,-280802.86827734386,116687.80161067717,-403042.4,-331746.5,-164193.0,45013.0,322927.39999999997,-435517.0,862971.0
37,15.0,-108698.8,259251.17786816045,-252281.59569463,34883.99569463001,-402669.2,-319110.0,-128963.0,-13207.5,278895.6,-441769.0,361593.0
38,15.0,-76191.73333333334,200495.6727931577,-187233.57877851417,34850.112111847484,-272526.0,-238011.0,-84136.0,57245.0,159800.59999999998,-457997.0,284409.0
39,15.0,-74569.46666666666,374948.2958525018,-282229.5629568262,133090.62962349283,-459898.2,-364584.0,-162376.0,171305.5,220317.4,-558629.0,882446.0
40,15.0,118925.13333333333,565413.3283150183,-194221.47247981813,432071.73914648476,-339596.39999999997,-239534.0,-108130.0,221726.5,958782.7999999999,-522721.0,1444912.0
41,15.0,400282.5333333333,1228658.2343926395,-280193.38850427873,1080758.4551709453,-366284.6,-73430.0,20129.0,376409.5,871964.1999999997,-466413.0,4600630.0
42,15.0,-8866.333333333334,467014.5608503423,-267516.09850852704,249783.43184186035,-452240.2,-321539.5,-156584.0,189740.5,599237.2,-555811.0,1107576.0
43,15.0,202321.33333333334,583851.4701363533,-121036.99059771097,525679.6572643777,-363386.4,-293843.0,151831.0,422815.5,1088598.7999999998,-426825.0,1399939.0
44,15.0,-181299.6,243055.8215750918,-315912.81432975014,-46686.385670249874,-434930.0,-313361.5,-262713.0,-95467.5,192982.19999999998,-528459.0,287195.0
45,15.0,112885.2,655103.7983133665,-249935.27242939937,475705.6724293994,-511643.8,-306820.0,-158971.0,670628.5,1047190.4,-687290.0,1284529.0
46,15.0,52545.26666666667,596969.830983283,-278078.48587620445,383169.0192095378,-339561.4,-277648.5,-175500.0,98852.5,894649.7999999996,-688956.0,1508923.0
47,15.0,373774.5333333333,608639.0809522582,36687.92284712434,710861.1438195424,-255712.0,-53139.0,238828.0,768900.5,817890.7999999999,-497332.0,1957775.0
48,15.0,-124548.46666666666,312044.9978088935,-297370.4130753746,48273.47974204128,-497752.2,-288713.0,-153566.0,76244.5,300248.99999999994,-680086.0,374013.0
49,15.0,-89282.0,315490.88420428254,-264012.40447769174,85448.40447769174,-493134.2,-310192.5,-13092.0,156308.0,234877.99999999997,-678935.0,385079.0
50,15.0,-126576.6,360441.12364034477,-326202.09308807016,73048.89308807015,-547994.2,-329363.0,-153241.0,-9272.0,344843.59999999986,-633090.0,653447.0
51,15.0,1824.3333333333333,390624.033724001,-214517.56061218976,218166.22727885644,-486552.0,-278082.5,64534.0,179649.0,465052.3999999999,-587177.0,788121.0
52,15.0,153197.73333333334,651594.0139576907,-207678.8919968275,514074.3586634942,-395931.8,-172872.5,-56522.0,243779.0,751003.5999999999,-538189.0,2087684.0
53,15.0,-158565.93333333332,425516.22557068703,-394232.4008235455,77100.53415687892,-521585.8,-429653.5,-328896.0,50873.5,187445.39999999997,-667421.0,1037190.0
54,15.0,-67581.6,419278.4923884636,-299793.3824374166,164630.18243741657,-530827.0,-351668.0,-112390.0,55762.0,376364.7999999999,-535154.0,1014931.0
55,15.0,90278.8,491247.68897925323,-181792.1589139726,362349.7589139726,-442951.2,-312561.0,21588.0,405320.5,641566.7999999999,-568946.0,1149731.0
56,15.0,-188815.86666666667,270882.458866484,-338840.4916983206,-38791.24163501273,-512603.8,-339978.5,-223619.0,-65274.5,32859.79999999999,-559519.0,513559.0
57,15.0,75489.93333333333,680434.5434750258,-301359.6333406787,452339.5000073454,-534662.4,-310293.5,-44376.0,372075.0,1074251.6,-1213591.0,1270868.0
58,15.0,-92800.6,469207.16607498046,-352664.7102385295,167063.5102385295,-534156.4,-190563.0,-57744.0,45385.5,411779.5999999998,-1242625.0,774199.0
59,15.0,-85506.13333333333,422659.78409673093,-319590.59893664473,148578.33226997804,-505825.8,-317477.5,-56727.0,12671.0,433121.7999999999,-916860.0,787195.0
60,15.0,-570.6666666666666,515709.63143124676,-286189.5450703804,285048.211737047,-449181.6,-381332.5,-139264.0,242339.5,632212.1999999998,-572781.0,1266749.0
61,15.0,-64533.6,357498.4817955376,-262529.350279263,133462.15027926298,-484430.99999999994,-254889.0,-83276.0,134095.5,303343.99999999994,-704021.0,705834.0
62,15.0,188148.73333333334,871162.8886579024,-294333.17509032495,670630.6417569916,-575418.2,-299808.5,-15403.0,310225.5,935352.9999999998,-643113.0,2815760.0
