sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,831153.5333333333,455916.727768486,578650.1545049574,1083656.9121617093,342661.20000000007,585974.0,839223.0,898554.0,1472013.4,232234.0,1850054.0
1,15.0,859254.4,422557.8292128952,625226.4007447925,1093282.3992552075,548835.4,596257.0,739059.0,942143.0,1506982.1999999997,231870.0,1784349.0
2,15.0,811558.4666666667,273049.5693492998,660333.6164932775,962783.3168400559,551537.8,669336.5,835906.0,936400.0,1147347.8,232234.0,1316453.0
3,15.0,750984.9333333333,277050.7735417223,597544.0697600542,904425.7969066125,516226.0,598359.5,768739.0,859865.0,935661.6,232234.0,1481246.0
4,15.0,747531.6,271492.5742133133,597169.0707477585,897894.1292522415,546904.6,601089.0,718962.0,866460.5,924783.6,231507.0,1481246.0
5,15.0,765492.1333333333,241013.75336004217,632009.8911585682,898974.3755080984,565732.6,636955.0,739059.0,898188.0,956228.8,231507.0,1304151.0
6,15.0,740149.4,212721.752835818,622336.3037263881,857962.4962736119,573306.6,608906.5,794942.0,838958.5,948026.2,231870.0,1139359.0
7,15.0,728269.0666666667,177128.99379889652,630168.5437014215,826369.5896319118,566572.2,610013.5,718962.0,890565.0,914289.8,335197.0,955785.0
8,15.0,742628.0,165998.00024613034,650692.2288646493,834563.7711353507,547984.2,624073.0,757274.0,900251.5,927745.8,442725.0,965928.0
9,15.0,763202.7333333333,203367.3613989039,650570.441581339,875835.0250853276,566572.2,611850.0,757894.0,898692.5,964969.2,442725.0,1200175.0
10,15.0,743421.8666666667,208924.56735040134,627711.7907621444,859131.942571189,536265.0,616751.5,683280.0,850420.0,948386.6,486292.0,1289465.0
11,15.0,711917.8666666667,225470.0260623402,587044.3098574661,836791.4234758673,487827.6,542214.0,646368.0,792832.0,969196.6,464509.0,1289465.0
12,15.0,708619.7333333333,225271.81128344446,583855.9551270145,833383.511539652,477619.0,542214.0,650446.0,792832.0,996575.0,464509.0,1248671.0
13,15.0,709804.0,228922.39339379375,583018.3957421009,836589.6042578991,477619.0,547725.0,637678.0,792832.0,1018915.7999999999,464509.0,1248671.0
14,15.0,722677.5333333333,235635.14535547374,592174.1612280967,853180.90543857,499452.2,543244.5,636053.0,879803.0,1033867.2,464509.0,1248671.0
15,15.0,700274.7333333333,235137.10948249098,570047.1917318848,830502.2749347817,432424.0,513748.5,645166.0,878214.5,996617.4,407330.0,1172668.0
16,15.0,702028.8,220420.651677715,579951.7716255594,824105.8283744407,422867.2,545541.0,662496.0,827400.5,996617.4,407330.0,1117263.0
17,15.0,702028.8,220420.651677715,579951.7716255594,824105.8283744407,422867.2,545541.0,662496.0,827400.5,996617.4,407330.0,1117263.0
