sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-383758.86666666664,1023555.9597488599,-950641.6382673383,183123.90493400506,-1825878.0,-711683.0,-369704.0,-2642.5,912415.2,-2242583.0,1430516.0
1,15.0,-4413.8,1285045.4668894683,-716119.036010661,707291.436010661,-766561.6,-445909.0,-170895.0,131523.0,336468.1999999999,-1972166.0,4142863.0
2,15.0,-353362.2,696031.7615101237,-738850.0771686974,32125.67716869735,-918045.0,-735098.0,-443516.0,167841.0,499371.9999999999,-2031707.0,627059.0
3,15.0,-167707.33333333334,960154.2279109322,-699475.9041653577,364061.23749869096,-705006.7999999999,-479358.5,-373987.0,-89672.5,665127.7999999998,-2003624.0,2522307.0
4,15.0,-232494.93333333332,661653.0906312793,-598942.6436737037,133952.77700703705,-665228.3999999999,-369968.5,-244814.0,-80655.5,124188.99999999991,-1821239.0,1466643.0
5,15.0,-20782.466666666667,372118.51568204653,-226875.32707610118,185310.39374276783,-455816.8,-217171.5,45970.0,125533.0,255569.99999999997,-690605.0,879949.0
6,15.0,-213006.66666666666,653097.1955687832,-574715.8090173178,148702.4756839845,-601259.2,-565893.5,-42449.0,287715.5,337074.0,-2105354.0,511689.0
7,15.0,-211517.13333333333,528513.7034025387,-504227.375660756,81193.10899408939,-723187.8,-494361.5,-108365.0,79535.5,266213.19999999995,-1562291.0,602299.0
8,15.0,-393487.06666666665,293834.6926107231,-556223.4792224274,-230750.65411090592,-760865.4,-449827.0,-362654.0,-252969.5,-99452.00000000009,-1062833.0,123329.0
9,15.0,370135.4666666667,909340.1616069805,-133490.41351095302,873761.3468442864,-340824.19999999995,-151848.0,47107.0,278312.0,1835030.4,-473076.0,2534681.0
10,15.0,171817.4,1084298.490791087,-428706.8095926953,772341.6095926954,-375997.0,-289195.0,-148143.0,25386.0,820262.3999999997,-624223.0,3785273.0
11,15.0,215356.73333333334,821728.3927780748,-239746.5410546104,670460.0077212771,-429216.8,-239426.0,30745.0,455442.0,1229074.3999999997,-946874.0,2280224.0
12,15.0,-279345.93333333335,318938.0044750002,-455985.4792453486,-102706.38742131813,-783547.7999999999,-376577.0,-246772.0,-59757.5,71437.79999999996,-858480.0,203741.0
13,15.0,29472.2,666800.0965784488,-339826.11070958956,398770.5107095896,-469883.6,-356791.0,-93220.0,62195.5,545656.9999999999,-492781.0,2134723.0
14,15.0,-81763.13333333333,341485.63729948894,-270890.38396421575,107364.11729754906,-501804.39999999997,-327378.0,-10114.0,107600.5,352082.1999999999,-708022.0,477858.0
15,15.0,375740.06666666665,2025987.9809082379,-746326.2658167146,1497806.399150048,-660261.0,-390055.0,-99587.0,55181.5,956419.3999999996,-916512.0,7435591.0
16,15.0,-147277.53333333333,458579.53800090536,-401255.67397656,106700.60730989336,-616616.8,-263491.5,-107579.0,7810.5,77534.19999999998,-1112308.0,1033221.0
17,15.0,-156301.86666666667,565392.4385187017,-469436.9029456648,156833.16961233152,-607564.4,-500078.0,-125454.0,50538.0,221106.9999999999,-1069265.0,1418458.0
18,15.0,-229188.06666666668,246841.08644182584,-365897.69929036463,-92478.4340429687,-485481.2,-366862.0,-230806.0,-68519.5,74447.2,-779170.0,102518.0
19,15.0,-46790.6,500835.12889741047,-324171.43421839015,230590.23421839016,-674722.0,-325257.0,-28925.0,195955.0,331980.39999999997,-893823.0,1142666.0
20,15.0,-51118.46666666667,297415.5639146937,-215838.09687672966,113601.16354339631,-357074.8,-182287.5,-83956.0,31484.0,373190.79999999993,-593247.0,531494.0
21,15.0,31543.4,249281.56177211113,-106517.85722817454,169604.65722817453,-316079.2,-145961.5,77289.0,201809.0,325583.6,-368630.0,426935.0
22,15.0,-3738.8,325090.0465328689,-183785.5720822621,176307.97208226213,-316546.2,-159493.5,-10032.0,113521.0,180887.59999999998,-527003.0,914514.0
23,15.0,11448.933333333332,383528.7006771028,-200963.30535031,223861.17201697663,-398867.2,-219088.0,23836.0,110617.5,557083.3999999998,-576416.0,781594.0
24,15.0,-157334.66666666666,226880.15801131245,-282989.20618613565,-31680.127147197636,-452687.0,-273849.5,-78064.0,31352.5,67236.99999999999,-636564.0,112341.0
25,15.0,113020.93333333333,500035.87201069406,-163917.24315359886,389959.10982026556,-341682.6,-186031.5,114656.0,269529.5,399134.6,-488783.0,1614660.0
26,15.0,151380.06666666668,485025.01461625175,-117244.54732002682,420004.6806533602,-288080.6,-144871.5,72665.0,224450.0,699363.9999999998,-405914.0,1465064.0
27,15.0,412350.6,856560.9337851151,-62044.2111133124,886745.4111133124,-368372.39999999997,-97868.5,43973.0,915775.5,1371151.4,-443496.0,2628754.0
28,15.0,308032.4,1271109.901202983,-395954.80943386664,1012019.6094338667,-472084.0,-317670.0,-126168.0,127045.0,1580565.5999999992,-533163.0,4143436.0
29,15.0,442125.6,984695.9244264045,-103235.06104259484,987486.2610425948,-293868.99999999994,-73579.0,72771.0,428857.5,1651345.2,-523520.0,3184287.0
30,15.0,152429.73333333334,568096.1829227094,-162202.7356036894,467062.20227035607,-227748.59999999998,-126648.0,-44691.0,223629.5,554153.0,-411453.0,1955635.0
31,15.0,129503.13333333333,461216.1326033082,-125935.24994886367,384941.51661553036,-154439.8,-135561.5,-75081.0,229718.0,730836.0,-363585.0,1338388.0
32,15.0,-249335.26666666666,383724.4941503263,-461855.942945446,-36814.59038788735,-659726.8,-389462.5,-159913.0,-75258.0,158626.3999999999,-1178260.0,375037.0
33,15.0,99356.66666666667,564210.794543603,-213123.93190888286,411837.26524221624,-397469.19999999995,-261884.5,55086.0,434206.5,581288.0,-1110754.0,1309946.0
34,15.0,202192.53333333333,1500818.7756831683,-629015.8623838399,1033400.9290505066,-506972.0,-258988.0,-129593.0,-37727.0,208091.4,-678919.0,5555482.0
35,15.0,32106.4,393055.4049270917,-185582.07635097974,249794.87635097973,-282943.2,-248962.5,-81107.0,230961.5,360191.0,-413299.0,1142211.0
36,15.0,-107472.0,364802.7512165209,-309513.1221560493,94569.1221560493,-345858.8,-169233.5,-53436.0,50921.0,218666.19999999992,-1179602.0,460733.0
37,15.0,89790.6,356817.09286948206,-107827.77214056783,287408.97214056784,-352259.4,-75997.5,-12985.0,335451.0,617812.0,-412096.0,701284.0
38,15.0,-153918.66666666666,362949.1103772906,-354933.17464838893,47095.841315055615,-552678.8,-303138.0,-80019.0,-27715.5,236589.99999999994,-928160.0,574406.0
39,15.0,75348.4,457805.6002638799,-178201.10558401703,328897.90558401705,-317560.8,-149951.5,-54969.0,195703.5,712335.2,-648475.0,1113435.0
40,15.0,95246.2,810603.4236471353,-353695.659103462,544188.059103462,-497239.4,-330113.0,-137845.0,120845.0,1023882.1999999998,-773876.0,2401302.0
41,15.0,256893.86666666667,615950.5669690972,-84242.1125113745,598029.8458447078,-372385.19999999995,-165853.5,157779.0,671927.0,1041837.2,-568974.0,1577146.0
42,15.0,479194.06666666665,1355274.294995849,-271406.4660241881,1229794.5993575214,-402980.39999999997,-269340.0,-82579.0,603975.5,2553992.1999999993,-667993.0,3739951.0
43,15.0,130181.73333333334,1163025.9591881407,-513944.63114005496,774308.0978067217,-523848.0,-337892.5,-113711.0,90138.5,171060.0,-659496.0,4224689.0
44,15.0,-111885.53333333334,423881.85545585136,-346646.82680575503,122875.76013908834,-443189.2,-344660.5,-208462.0,-39532.0,214681.99999999988,-494161.0,1208181.0
