sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,1078192.4666666666,641306.5252580488,723013.4292908512,1433371.504042482,491372.4,643989.0,861257.0,1296815.5,2082047.5999999999,349778.0,2416666.0
1,15.0,959267.8666666667,497401.07169651147,683788.9390761843,1234746.794257149,506660.4,654827.0,859333.0,1158358.5,1297565.6,349778.0,2416666.0
2,15.0,951202.0666666667,471676.820220078,689970.1715275329,1212433.9618058004,572798.4,697028.0,857890.0,1006434.0,1297565.6,474076.0,2416666.0
3,15.0,815468.0,498518.9570569437,539369.9465616166,1091566.0534383834,503733.6,576312.0,729527.0,856334.5,1080912.0,198311.0,2416666.0
4,15.0,808833.1333333333,496148.2434832884,534048.0678840334,1083618.198782633,479253.0,560571.0,729527.0,880237.0,1046299.0,198311.0,2405614.0
5,15.0,812186.6666666666,494121.1771100959,538524.2648029863,1085849.068530347,446088.0,586214.5,806443.0,862473.0,1020736.2,195095.0,2405614.0
6,15.0,806925.6666666666,495443.8800885911,532530.7034580865,1081320.629875247,421197.4,579226.5,705749.0,883198.0,1017437.6,196365.0,2394562.0
7,15.0,786300.8,417571.01393607294,555034.6816548302,1017566.9183451699,432528.60000000003,578678.5,726869.0,915600.0,1041620.6,193149.0,2029291.0
8,15.0,785349.1333333333,414904.9193778991,555559.5957828842,1015138.6708837824,439131.0,586749.5,729527.0,896455.0,1041620.6,193149.0,2029291.0
9,15.0,698332.8666666667,339640.1977090434,510227.6880582168,886438.0452751166,338940.0,570995.0,714333.0,830275.0,897506.4,193149.0,1664021.0
10,15.0,679508.6,288739.177841179,519594.2701137593,839422.9298862406,338940.0,570995.0,619545.0,844887.0,915835.8,193149.0,1375104.0
11,15.0,642014.6666666666,270578.33500978356,492158.47656341514,791870.8567699181,250213.80000000002,526034.5,586894.0,844887.0,915835.8,178374.0,1105541.0
12,15.0,695975.2,304863.8947924608,527130.4114030683,864819.9885969316,232682.6,548197.0,748715.0,902618.0,1036818.3999999999,178374.0,1151398.0
13,15.0,665801.8,269794.6113388055,516379.66476452746,815223.9352354726,240305.80000000002,555622.5,697109.0,890081.0,931462.7999999999,171184.0,1015068.0
14,15.0,657491.8666666667,272634.06290847255,506497.13917543343,808486.5941579,223455.80000000002,552841.5,730656.0,868625.5,899600.4,165277.0,1064718.0
15,15.0,687542.2,284907.70420240605,529749.8805177585,845334.5194822414,242396.0,532030.0,779523.0,897930.0,941400.6,165277.0,1064718.0
16,15.0,685317.2,324670.37848149054,505502.8554522089,865131.544547791,233900.2,532030.0,689163.0,839012.5,1038701.2,166386.0,1355965.0
17,15.0,687769.4666666667,324637.04873285943,507973.5813541532,867565.3519791801,233900.2,532030.0,696430.0,839012.5,1038701.2,166386.0,1355965.0
18,15.0,656444.7333333333,295736.13289056625,492655.2335226899,820234.2331439767,223314.0,511750.5,700817.0,822968.5,972271.7999999999,177697.0,1198900.0
19,15.0,619079.9333333333,292292.31978069653,457197.74333023257,780962.1233364341,217634.8,447037.5,628450.0,804389.5,972271.7999999999,177697.0,1151107.0
20,15.0,604912.8666666667,278808.3036849786,450498.61854192126,759327.1147914121,205769.8,426509.0,642252.0,770228.5,872124.2,178364.0,1151107.0
21,15.0,577565.3333333334,264676.5472250089,430977.7694199513,724152.8972467154,195915.8,418821.0,641178.0,728898.5,849513.4,188818.0,1100194.0
22,15.0,586878.2666666667,264397.1488563226,440445.44380101445,733311.089532319,193623.2,470692.5,641178.0,703447.5,878191.5999999999,188818.0,1100194.0
23,15.0,594856.0666666667,265636.66836098477,447736.752509978,741975.3808233553,197729.0,461879.5,628450.0,709860.5,959688.0,190942.0,1004377.0
24,15.0,580445.4,241563.41647626556,446658.73426362744,714232.0657363726,205597.80000000002,479495.5,628450.0,696219.0,863969.7999999999,190942.0,985424.0
25,15.0,577563.1333333333,236375.641595221,446649.64729465736,708476.6193720092,205057.0,521208.0,580419.0,696688.0,879447.4,190942.0,942327.0
26,15.0,588866.6,213525.32479303578,470608.4561508751,707124.7438491249,230972.4,537853.5,642252.0,696211.0,803020.6,203813.0,905249.0
27,15.0,573048.6666666666,203117.55995927463,460554.724099295,685542.6092340383,230972.4,534985.5,628450.0,678663.0,743294.8,203813.0,905249.0
28,15.0,592758.1333333333,202327.12204668767,480701.96422660904,704814.3024400575,254609.0,534985.5,653733.0,724355.0,773848.6,219434.0,882899.0
29,15.0,601722.8666666667,213279.29615843657,483600.9824845843,719844.7508487491,265272.8,521775.5,674582.0,725958.5,817602.6,219434.0,931280.0
30,15.0,627768.7333333333,255499.79554491868,486263.5905393369,769273.8761273297,265272.8,500283.0,670967.0,727226.0,927036.0,219434.0,1121921.0
