sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,754947.8,329625.1456785419,572389.3239423013,937506.2760576988,450256.0,558035.0,726964.0,825659.5,927405.6,358904.0,1757704.0
1,15.0,689817.0,227956.65214873012,563566.2586076203,816067.7413923797,493420.2,522858.5,679348.0,721366.5,896418.6,425924.0,1347827.0
2,15.0,670309.9333333333,220272.5010174789,548314.9562195876,792304.9104470791,497492.4,561597.0,599440.0,676628.0,869253.0,480621.0,1347827.0
3,15.0,615472.8666666667,78865.60101288653,571794.2088851153,659151.524448218,497989.4,583501.5,629298.0,670891.5,687825.4,477122.0,750447.0
4,15.0,595275.6666666666,70095.9705420939,556453.9513706208,634097.3819627125,545421.4,561801.0,585687.0,623276.5,691079.2,428114.0,712800.0
5,15.0,598576.9333333333,89242.92110899702,549150.9356805806,648002.9309860861,531128.8,557458.5,572748.0,656764.5,701497.0,382128.0,739996.0
6,15.0,610671.9333333333,122046.6085678902,543078.0523437649,678265.8143229018,514253.2,554467.5,579545.0,664389.5,723747.4,381980.0,914476.0
7,15.0,629723.1333333333,171617.7659608979,534674.9301577106,724771.336508956,511884.0,528557.0,589650.0,691203.0,735863.2,394827.0,1151491.0
8,10.0,632414.2,100625.79254268979,560435.8454112873,704392.5545887126,505145.6,552753.75,621463.5,728840.25,752901.1,494900.0,754837.0
9,15.0,664192.9333333333,183814.15426047918,562389.9237038641,765995.9429628026,470241.8,535550.5,639080.0,742312.0,822659.2,420372.0,1151491.0
10,15.0,619898.1333333333,197638.78944386926,510438.5345017932,729357.7321648734,432816.8,486526.5,587616.0,696815.0,783876.7999999999,420366.0,1173947.0
11,15.0,638564.6666666666,220288.22331944597,516560.9819663643,760568.351366969,427962.8,504032.0,578036.0,657567.0,996074.2,380996.0,1107982.0
12,15.0,644607.0666666667,222509.87168870468,521372.951746021,767841.1815873123,418280.4,539052.5,597104.0,654373.5,984293.7999999999,380996.0,1157304.0
13,15.0,640149.2,244806.05618273185,504566.6416535594,775731.7583464405,420420.6,498862.5,562516.0,665237.5,1040453.6,380996.0,1180620.0
14,15.0,596841.6,161565.84904030396,507360.5165011989,686322.6834988011,434088.4,507463.0,555918.0,650294.0,844856.7999999999,380996.0,933959.0
15,15.0,580944.9333333333,128484.75591372512,509785.37058829365,652104.496078373,450559.4,504374.0,564815.0,638616.0,771319.3999999999,380996.0,827036.0
16,15.0,560400.0,115135.33089555339,496633.8376660461,624166.1623339539,471830.2,510494.5,547450.0,633446.5,685065.4,252588.0,705385.0
17,15.0,564846.2666666667,118560.23240920123,499183.26845967234,630509.2648736611,480728.6,509843.0,595771.0,644157.5,672693.2,216403.0,683356.0
18,15.0,590929.8666666667,109603.98803801846,530227.1645567365,651632.5687765969,467219.6,548056.5,621657.0,665791.0,700437.6,308261.0,703306.0
19,15.0,591883.4,112820.37926203125,529399.3426507649,654367.4573492352,458526.4,543293.0,593214.0,670311.0,679263.0,399186.0,858777.0
20,15.0,616820.6,163514.07105148036,526260.5198104267,707380.6801895732,456420.0,539216.0,609934.0,664255.5,701269.4,418166.0,1112904.0
21,15.0,609327.9333333333,158797.97049326843,521379.8023294623,697276.0643372044,452938.0,512700.5,608686.0,661790.5,705861.8,406238.0,1073504.0
22,15.0,581612.0666666667,111001.8858388494,520135.1575657049,643088.9757676284,450453.8,487400.0,608352.0,651047.0,713327.8,409774.0,779094.0
23,15.0,567954.4666666667,102402.928355078,511239.975101208,624668.9582321253,430744.8,488234.0,566405.0,642792.0,686060.4,402652.0,720965.0
24,15.0,584674.2,81139.83738073074,539735.9868387945,629612.4131612054,507561.60000000003,549765.0,575824.0,642044.0,671681.6,416271.0,747086.0
25,15.0,600744.8,120951.87059275154,533757.2249887343,667732.3750112657,497401.0,550240.5,597176.0,649789.5,728413.7999999999,295674.0,817029.0
26,15.0,589790.1333333333,169581.62786393153,495869.617996149,683710.6486705176,409236.2,552017.0,631720.0,659147.5,749504.7999999999,148678.0,844801.0
27,15.0,580944.5333333333,171773.96774909366,485809.81988753134,676079.2467791353,363270.2,538052.0,631897.0,686186.5,720636.4,141797.0,788688.0
28,15.0,576058.7333333333,161769.36834777493,486464.9333894814,665652.5332771852,389657.2,538735.5,624899.0,682430.5,715005.6,130647.0,723660.0
29,15.0,603152.9333333333,239992.31067338883,470236.4035221437,736069.463144523,458149.8,515427.5,571428.0,654907.5,716975.2,125020.0,1297783.0
30,15.0,612587.6,237869.39639996926,480846.8178513827,744328.3821486172,455866.6,517252.5,590949.0,687442.5,752722.0,125020.0,1264992.0
31,15.0,646915.8666666667,367880.15271220106,443170.3668724595,850661.366460874,437574.6,483640.0,609154.0,665522.5,796707.3999999999,125020.0,1840341.0
32,14.0,606637.3571428572,236752.45297457432,469963.88719001436,743310.8270957,415185.2,480005.75,614196.5,670879.25,819755.7000000001,127646.0,1158888.0
33,15.0,598255.8,205445.5553498994,484472.52833758335,712039.0716624168,425165.0,494885.0,597893.0,646490.0,859836.2,125124.0,978841.0
34,15.0,586191.9333333333,182658.29448706622,485029.08117224014,687354.7854944266,379049.2,514671.0,635831.0,672432.5,780173.0,129338.0,834813.0
35,15.0,544603.0666666667,166423.02082965165,452431.90356854245,636774.2297647909,330989.0,480328.0,610232.0,644412.5,660113.8,132558.0,754720.0
36,15.0,519013.5333333333,177036.10934813216,420964.45317821135,617062.6134884553,253061.80000000002,451332.0,561409.0,641813.0,677478.8,131283.0,723999.0
37,15.0,529066.8,197671.11911209632,419589.2958143316,638544.3041856685,255701.2,454924.5,577331.0,655867.0,730640.2,137307.0,868713.0
38,15.0,537666.8666666667,177041.33990433931,439614.88963798207,635718.8436953514,341454.80000000005,473631.5,541573.0,682204.5,713203.6,131354.0,819266.0
39,15.0,517722.06666666665,162413.31689878964,427771.62443482794,607672.5088985054,316578.0,491377.5,537650.0,612575.5,654538.2,127448.0,780928.0
40,15.0,526674.8666666667,160407.45548306778,437835.3439385063,615514.3893948271,334855.60000000003,476594.5,552072.0,628690.0,691058.8,124030.0,712297.0
41,15.0,552273.9333333333,189396.70104702254,447379.1048689441,657168.7617977227,376472.80000000005,490936.0,539934.0,627374.0,808558.2,123760.0,873608.0
42,15.0,550548.6666666666,172122.2285776123,455221.0736212392,645876.2597120941,420068.6,505181.0,539934.0,623292.0,717516.0,122936.0,903381.0
43,15.0,544306.2,173878.005743025,448006.1932664274,640606.2067335725,423979.2,495864.5,536187.0,554338.0,794660.2,125635.0,846260.0
44,15.0,534030.0,154939.6243444523,448218.76238022133,619841.2376197787,392342.2,501333.0,547998.0,614938.0,677483.6,125400.0,804514.0
45,15.0,544524.1333333333,155771.01223355604,458252.4426563852,630795.8240102814,361294.80000000005,505637.0,576438.0,623860.0,689470.8,131866.0,733291.0
46,15.0,555501.2666666667,164248.08249346763,464534.66406211734,646467.8692712161,340487.0,503249.5,635747.0,650210.5,672444.0,137088.0,734220.0
47,15.0,550051.9333333333,155647.35607018223,463848.7279677658,636255.1386989008,356917.4,524898.5,574426.0,665084.5,693215.0,147656.0,708159.0
48,15.0,554792.9333333333,157813.74734905825,467389.90114750864,642195.965519158,392075.2,510241.0,573491.0,665580.5,720657.2,147656.0,734685.0
49,15.0,563016.7333333333,147558.3796204388,481293.4993318798,644739.9673347868,495510.0,515004.5,554865.0,626400.5,721805.2,141856.0,792370.0
50,15.0,583643.5333333333,156740.54224958914,496834.88143076375,670452.1852359029,494822.4,519293.5,574252.0,675839.5,757501.7999999999,142184.0,798675.0
51,15.0,619701.1333333333,165053.522950616,528288.4483095875,711113.818357079,507496.6,581560.5,638384.0,686938.5,766718.6,161166.0,916990.0
52,15.0,623994.8,170018.08253292184,529832.5600848102,718157.0399151898,461653.60000000003,588333.0,649630.0,714760.0,774238.4,163324.0,889463.0
53,15.0,674950.0,227397.63636634397,549008.8620182294,800891.1379817706,501411.2,560990.5,652494.0,791234.5,885229.7999999999,147801.0,1166409.0
54,15.0,669838.5333333333,221027.041623827,547425.664001641,792251.4026650257,463625.2,565946.5,646980.0,806788.0,914518.4,153441.0,1056678.0
55,15.0,637946.2666666667,197621.36491911806,528496.318174994,747396.2151583395,472716.2,588306.0,673546.0,689640.5,776959.2,147801.0,1082003.0
56,15.0,622806.0,210057.71420731017,506468.3458719748,739143.6541280253,450502.0,492871.5,607894.0,707923.5,875192.4,153441.0,1013839.0
57,15.0,638921.2666666667,212592.67418552403,521179.6588762553,756662.8744570782,434543.2,526266.5,639972.0,725101.0,910248.6,153441.0,996741.0
58,15.0,622365.0,181575.85339151553,521801.6433550003,722928.3566449997,474827.6,573815.5,628802.0,679185.5,812415.3999999999,141164.0,937695.0
59,15.0,611950.1333333333,151985.63026477522,527774.9258057346,696125.340860932,528041.6,562022.5,643000.0,692917.5,729475.0,147995.0,810094.0
60,15.0,640786.0,174186.2862262288,544315.2562460579,737256.7437539421,499377.0,577998.0,681698.0,714391.5,786819.0,144836.0,904866.0
61,15.0,654315.4666666667,173064.18145749392,558466.1856234521,750164.7477098813,547921.4,594704.0,670384.0,740228.5,802722.8,143256.0,907816.0
62,15.0,652276.7333333333,187178.38959951192,548610.4869798301,755942.9796868365,549549.8,592319.5,643275.0,725396.0,822662.3999999999,142020.0,1009388.0
63,15.0,667025.2666666667,243741.50188716227,532032.2974715022,802018.2358618312,529777.2,571113.0,634846.0,734344.5,828946.2,144727.0,1325816.0
64,15.0,658314.4666666667,232309.7884171253,529652.7990034958,786976.1343298375,518258.2,545422.0,656900.0,721384.5,834388.7999999999,143889.0,1253904.0
65,15.0,667490.6666666666,271107.6654535365,517341.31398037384,817640.0193529595,503986.2,551093.5,638056.0,718213.0,883780.7999999999,142020.0,1412320.0
66,15.0,640590.4,246649.47166889056,503986.8906542007,777193.9093457994,513473.4,542473.0,612375.0,683134.0,829959.7999999999,142020.0,1320972.0
67,15.0,599703.7333333333,171580.12633688367,504676.37635979644,694731.0903068702,506383.8,526171.5,612375.0,670093.0,780495.6,139329.0,906863.0
68,15.0,607960.8,180967.55813610036,507734.3395423137,708187.2604576864,490279.2,514081.0,591270.0,707082.5,826700.4,140383.0,877446.0
69,15.0,601497.7333333333,179307.7371517895,502190.5425169257,700804.9241497408,475988.2,533893.0,612375.0,661876.5,829486.4,148626.0,902895.0
70,15.0,567861.1333333333,145693.48011192473,487170.74896953185,648551.5176971348,459196.2,513501.0,536875.0,652102.0,722557.2,190155.0,805361.0
71,15.0,584072.4,142383.6683877152,505215.11056943174,662929.6894305684,439062.0,487227.5,540128.0,698974.5,757656.0,355802.0,850899.0
72,15.0,597917.4666666667,109438.38183514611,537306.4833361391,658528.4499971942,490527.2,506729.0,555479.0,697865.5,750475.6,483084.0,788249.0
73,15.0,614104.8666666667,99754.4650542855,558857.1910599606,669352.5422733728,507027.6,530119.0,615098.0,690482.5,746547.6,467294.0,769284.0
74,15.0,617227.4666666667,108859.07945784552,556937.3222058768,677517.6111274565,487776.2,521345.0,613100.0,706910.5,723638.4,475018.0,820202.0
75,15.0,589163.2,155997.1150869693,502766.2852832825,675560.1147167174,440336.2,527745.5,597157.0,696862.5,739400.4,187076.0,820202.0
76,15.0,558477.0666666667,146812.40537865544,477166.9805167762,639787.1528165571,429480.0,483814.0,586874.0,647885.0,726998.8,182863.0,744770.0
77,15.0,564264.6666666666,129963.48427685736,492286.1300052984,636243.2033280348,405732.8,512823.5,535916.0,642100.5,732717.3999999999,321300.0,782122.0
