sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,501082.06666666665,486148.334678605,231835.3168951376,770328.8164381958,120902.80000000002,234354.5,377209.0,581206.0,854741.7999999999,62925.0,2020201.0
1,15.0,531532.4,567887.6295046407,217015.43558281858,846049.3644171815,29515.4,111294.0,380720.0,752069.0,1177441.2,19222.0,2035888.0
2,15.0,424943.73333333334,433991.70610433596,184583.23436413746,665304.2323025293,110239.8,204328.5,276820.0,465205.5,760841.9999999999,74029.0,1803073.0
3,15.0,302507.13333333336,209259.45825112035,186611.5825847879,418402.68408187886,65658.0,134932.5,275442.0,447511.0,505959.8,56839.0,795032.0
4,15.0,578643.4,702658.6544889752,189485.3068326834,967801.4931673167,146489.0,212900.5,268903.0,766605.0,1066941.0,70948.0,2806721.0
5,15.0,369322.8,353467.8979928123,173559.3346246501,565086.2653753499,109080.8,172728.5,263732.0,380377.5,779909.7999999998,67666.0,1352448.0
6,15.0,532375.8,748471.6027661399,117844.81847499218,946906.7815250079,135973.0,154885.5,263142.0,413282.0,1511124.1999999993,98050.0,2485973.0
7,15.0,308651.93333333335,290051.60417008225,148010.7336870525,469293.1329796142,60721.4,107056.5,230162.0,344922.0,789244.7999999999,32324.0,922922.0
8,15.0,376623.4,367780.70230928954,172932.97948065054,580313.8205193495,79741.0,120540.5,216479.0,535581.0,744584.7999999999,58293.0,1408231.0
9,15.0,228657.2,95309.53995587221,175871.286679319,281443.11332068103,111487.40000000001,174268.0,215021.0,312959.5,352095.8,85053.0,376481.0
10,15.0,331110.5333333333,301979.381273875,163863.29394957484,498357.77271709184,112035.6,158149.0,240502.0,364708.5,598654.8,51568.0,1255092.0
11,15.0,377662.2,353445.2497543088,181911.2780484781,573413.121951522,128343.0,147833.0,299925.0,371712.5,852802.2,42587.0,1319453.0
12,15.0,403494.0,501958.10445110145,125491.22079828684,681496.7792017132,112467.6,178220.0,309245.0,400022.0,504299.19999999995,92408.0,2153263.0
13,15.0,536614.5333333333,702657.7216478942,147456.95680756657,925772.1098591001,122181.40000000001,188366.0,290250.0,514769.5,1067203.9999999998,90856.0,2803105.0
14,15.0,455571.8,880844.015849912,-32271.871171023464,943415.4711710234,107727.8,159283.0,201582.0,331083.5,464686.19999999995,86572.0,3610448.0
15,15.0,333118.6,338615.5884034705,145580.88754464005,520656.3124553599,39902.600000000006,125916.0,192001.0,458789.0,739217.7999999999,16210.0,1228120.0
16,15.0,503725.4666666667,558213.5249817513,194566.375585532,812884.5577478013,110092.0,179340.0,267080.0,605737.0,944000.9999999999,93002.0,2242302.0
17,15.0,890132.8,1550254.376640455,31545.158214749186,1748720.4417852508,112182.8,241776.5,418808.0,695946.5,1701246.7999999993,31860.0,6147445.0
18,15.0,641051.5333333333,1185318.8478601663,-15421.449218937429,1297524.515885604,107691.80000000002,206833.0,291956.0,522531.5,758182.7999999999,67834.0,4853002.0
19,15.0,292397.4,225529.59611634124,167490.85111352714,417303.9488864729,109065.0,125911.0,249618.0,330077.5,578235.2,72349.0,878949.0
20,15.0,493237.26666666666,493987.0009116011,219649.17649504484,766825.3568382885,72494.40000000001,185761.0,312726.0,499632.5,1333019.5999999999,45045.0,1573168.0
21,15.0,364671.13333333336,221410.88970827413,242045.67487653022,487296.59179013653,150469.6,221034.0,290462.0,476871.0,723263.2,118821.0,783589.0
22,15.0,423998.86666666664,340117.3394634493,235629.42948240778,612368.3038509255,143195.80000000002,219927.0,256183.0,506524.0,1010208.6,79419.0,1101411.0
23,15.0,386034.93333333335,247446.01109202058,248990.2712869196,523079.5953797471,148916.6,194223.0,337420.0,569106.0,750587.8,83816.0,837832.0
24,15.0,429584.2,497532.0474098988,154032.7332633086,705135.6667366915,183341.80000000002,217135.5,288085.0,404630.5,649123.9999999999,17388.0,2122642.0
25,15.0,263280.26666666666,276290.83926038793,110260.28252604982,416300.2508072835,68092.20000000001,125904.5,206505.0,269403.0,396579.3999999999,34946.0,1180627.0
26,15.0,241666.8,193290.30382014954,134615.55174193002,348718.04825806996,54119.200000000004,113748.0,211627.0,286279.0,501232.7999999999,34903.0,693175.0
27,15.0,402086.4,675686.8817295479,27866.262252921588,776306.5377470785,55294.4,138972.5,206547.0,283762.5,629000.7999999999,39908.0,2760273.0
28,15.0,352329.13333333336,238215.95739606488,220396.41301453183,484261.8536521349,119258.0,129349.0,368477.0,448977.0,692276.6,33728.0,828865.0
29,15.0,394782.5333333333,344030.3916651356,204245.90454964855,585319.1621170181,97072.20000000001,170897.5,238946.0,563530.5,887040.6,35960.0,1156754.0
30,15.0,291841.93333333335,238729.0101033467,159625.06563801467,424058.801028652,111243.40000000001,167760.5,238024.0,361713.0,443029.8,14279.0,1034081.0
31,15.0,346580.93333333335,260498.68837823533,202307.22063625068,490854.646030416,177120.0,223944.0,266450.0,369897.0,526549.6,38204.0,1169584.0
32,15.0,404076.73333333334,217841.9347329837,283427.89283165114,524725.5738350155,158925.40000000002,277349.5,365944.0,510671.0,694953.2,27681.0,819155.0
