sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,761790.9333333333,495932.0598079462,487125.5983197615,1036456.2683469052,382157.6,460168.5,627892.0,965066.5,1241103.7999999998,141927.0,2144276.0
1,15.0,604387.8,274788.9149259326,452199.63655403233,756575.9634459678,210220.80000000002,490239.5,604022.0,769312.5,886279.6,143058.0,1140270.0
2,15.0,600882.3333333334,256063.75297114323,459064.85026541445,742699.8164012523,220980.0,463956.5,582052.0,761439.0,891832.6,199342.0,1027175.0
3,15.0,661234.2,299452.7719298272,495386.2893916387,827082.1106083612,299793.2,506905.0,582052.0,813116.0,1065046.8,197916.0,1245088.0
4,15.0,648965.4666666667,299785.2290514153,482933.4291302863,814997.504203047,322307.20000000007,533677.0,571174.0,717931.0,1020587.0,204093.0,1362536.0
5,15.0,628796.4666666667,294331.21170736174,465785.0636533991,791807.8696799342,319149.4,538932.0,575744.0,659838.0,982254.7999999999,177589.0,1348934.0
6,15.0,618414.6,306576.71227904543,448621.19035817747,788208.0096418224,312805.2,498514.0,554234.0,637856.5,1067085.4,167972.0,1313194.0
7,14.0,612215.4285714285,349770.0712267361,410298.6639525425,814132.1931903146,267924.2,459408.75,545342.0,636028.75,1102351.9000000006,167972.0,1426662.0
8,13.0,715291.0,352737.24810473307,502115.7031041592,928466.2968958408,457934.4,531311.0,606079.0,724728.0,1284678.4000000001,171850.0,1315836.0
9,15.0,648402.3333333334,305002.990441702,479480.50847237685,817324.1581942899,280877.4,506710.0,632010.0,710042.0,1060971.5999999999,171850.0,1295381.0
10,15.0,718070.2,430029.85238356254,479903.92069853924,956236.4793014607,328034.4,542676.5,659395.0,766913.5,977451.7999999999,178775.0,2049504.0
11,15.0,680942.5333333333,223703.30553495773,557047.4510468664,804837.6156198003,404393.80000000005,592780.5,691324.0,798524.0,956670.0,198341.0,1009184.0
12,15.0,681636.4666666667,233640.43245455693,552237.8396093674,811035.0937239659,363502.80000000005,581057.5,684655.0,855822.0,959218.0,202896.0,967714.0
13,15.0,657355.2,215878.51393986784,537793.7738310847,776916.6261689152,342828.2,536294.5,723714.0,777903.0,882668.8,228351.0,955984.0
14,15.0,655663.9333333333,250661.04205807112,516838.6694082847,794489.197258382,338776.80000000005,520330.5,677802.0,747284.0,896003.0,210350.0,1206544.0
15,15.0,700705.6666666666,323378.50982592837,521606.8062866281,879804.5270467051,340912.0,567894.0,687158.0,769478.0,1079109.1999999997,221622.0,1463819.0
16,15.0,688636.1333333333,328099.5076503614,506922.61148222885,870349.6551844378,354049.4,528526.0,695327.0,775362.0,815755.7999999999,204959.0,1657554.0
17,15.0,689125.0,326847.97219852183,508104.6243114848,870145.3756885151,362363.4,557003.5,642288.0,816838.0,864946.4,194614.0,1623504.0
18,15.0,707941.1333333333,247618.7670388456,570800.7927175029,845081.4739491637,393473.2,594070.5,753883.0,842594.5,964238.0,187132.0,1138236.0
19,15.0,679003.5333333333,217355.92836433934,558623.8609554343,799383.2057112324,387196.2,605138.0,710246.0,788918.0,940680.7999999999,201223.0,985371.0
20,15.0,672473.7333333333,246630.60418814517,535880.6734892697,809066.7931773969,340048.80000000005,570258.0,665760.0,818911.5,940005.4,190044.0,1107070.0
21,15.0,664601.6666666666,223445.5938643252,540849.3145404127,788354.0187929205,430182.4,583730.0,655155.0,785248.0,889027.2,184294.0,1124816.0
22,15.0,624856.8,214788.43812897778,505899.0977321051,743814.502267895,372606.4,548661.0,641686.0,715414.0,757075.2,184033.0,1124816.0
23,15.0,632936.6666666666,257293.61993413192,490438.0382387518,775435.2950945814,322065.2,503646.5,613010.0,696784.5,1001095.7999999999,202432.0,1124816.0
24,15.0,713594.2,391745.04944254603,496631.44649962394,930556.953500376,285232.4,526278.5,647024.0,849314.5,1103861.2,192517.0,1739969.0
25,15.0,605768.2,260428.1171514101,461533.5722325461,750002.8277674539,275052.4,433565.0,636660.0,715276.0,971845.6,152440.0,1013272.0
26,15.0,548568.4666666667,199597.7352318789,438023.9319240555,659113.0014092778,278197.4,437252.5,576375.0,656434.5,734440.6,143277.0,895263.0
27,15.0,548838.8666666667,214374.58193940631,430110.3731113525,667567.3602219808,284175.2,429669.0,548292.0,656128.5,780470.6,148478.0,964285.0
28,15.0,592949.6,249009.23377681052,455039.1679878677,730860.0320121322,336889.0,456755.5,597942.0,671325.0,770426.6,229417.0,1290200.0
29,15.0,591352.2666666667,226084.19021223887,466138.5632614776,716565.9700718558,359474.60000000003,457734.0,584547.0,676357.0,868795.9999999999,226740.0,1104208.0
30,15.0,568487.3333333334,175199.53447983923,471455.4155929029,665519.2510737638,316950.4,471003.0,600273.0,673685.0,731994.0,235290.0,870576.0
31,15.0,582372.0666666667,181799.07426311006,481685.08212896273,683059.0512043706,319225.0,491885.0,626443.0,685785.0,751195.0,234020.0,888528.0
32,15.0,583849.9333333333,178533.0612013467,484971.78642575827,682728.0802409084,347019.2,465629.0,640053.0,695523.5,762421.0,209988.0,841328.0
33,15.0,638839.3333333334,219891.98101004912,517055.10213377705,760623.5645328898,341932.80000000005,507164.0,682594.0,770384.5,898333.2,206002.0,938798.0
34,15.0,652738.4,228394.6724421816,526245.0669294574,779231.7330705427,411090.6,519194.5,664181.0,750610.0,818936.8,225472.0,1206316.0
35,15.0,625312.8666666667,207049.80105343417,510641.10498854885,739984.6283447845,415270.2,504487.5,646514.0,724317.5,773378.2,241010.0,1131260.0
36,15.0,601484.8,145033.154935198,521160.1278991924,681809.4721008077,438120.8,536155.5,657438.0,685023.5,744731.7999999999,234939.0,768639.0
37,15.0,612980.9333333333,146265.55709660752,531973.711786809,693988.1548798577,444584.0,545806.5,648575.0,704353.5,765325.2,261516.0,809837.0
38,15.0,596433.6,157382.75882010892,509269.26504366414,683597.9349563358,380044.4,521416.5,623933.0,684806.5,744186.6,261516.0,852502.0
39,15.0,583036.0,171903.1717840848,487829.72862836096,678242.271371639,327795.80000000005,519167.5,610959.0,708866.0,763758.0,228879.0,780544.0
40,15.0,594269.3333333334,174121.11801709695,497834.6821199711,690703.9845466956,330214.80000000005,534712.5,659178.0,686869.5,769450.4,234094.0,815986.0
41,15.0,605684.5333333333,168447.9298006473,512391.901497927,698977.1651687396,380033.4,540308.5,636246.0,683254.5,791479.2,246189.0,882511.0
42,15.0,606971.4666666667,173382.45324421083,510945.91505333036,702997.018280003,404928.80000000005,505970.0,642430.0,709821.0,799959.7999999999,226430.0,866448.0
43,15.0,612988.8666666667,156692.98988005935,526206.5510076395,699771.1823256939,444504.8,538625.0,642482.0,705098.0,777684.6,256737.0,885806.0
44,15.0,655912.3333333334,179385.7600626039,556561.9305718343,755262.7360948324,426332.0,581933.5,694312.0,742160.0,818222.2,250843.0,960363.0
45,15.0,679092.9333333333,277513.98446602566,525395.5265880822,832790.3400785845,409424.4,588110.0,657979.0,760196.5,789503.8,219596.0,1485782.0
46,15.0,643927.4666666667,218055.37277223438,523160.416363065,764694.5169702683,356854.4,542890.5,686193.0,778946.0,828013.7999999999,190488.0,1041129.0
47,15.0,650343.0,279248.36621673236,495685.02913073613,805000.9708692639,289314.4,537646.5,635876.0,751778.0,905050.2,201868.0,1324304.0
48,15.0,634420.8666666667,248682.1259726293,496691.5989346896,772150.1343986439,310304.20000000007,501627.5,626840.0,757776.5,863451.4,196335.0,1169724.0
49,15.0,633313.6,254722.0303156252,492239.2120705883,774387.9879294117,308468.80000000005,529352.0,635904.0,731472.0,866610.7999999999,183992.0,1212927.0
50,15.0,646058.6666666666,240598.8920469878,512806.18987867323,779311.14345466,297636.80000000005,550112.0,679030.0,768875.5,918321.6,189568.0,1033908.0
51,15.0,675979.3333333334,288179.65846565395,516374.8857660231,835583.7809006437,302165.80000000005,545698.0,653709.0,803778.0,1053530.0,189568.0,1224277.0
52,14.0,663267.8571428572,289582.5977407581,496096.3749726677,830439.3393130465,289864.7,551451.75,638564.0,822961.5,886051.6000000001,171249.0,1330927.0
53,15.0,657494.9333333333,305272.9413025256,488423.59980045503,826566.2668662117,323258.4,538446.5,622030.0,717506.5,1097856.7999999998,158360.0,1272787.0
54,14.0,690982.7142857143,403765.57287451014,457895.1952382005,924070.2333332282,271164.10000000003,551308.5,650493.0,716161.75,1078598.9000000004,163357.0,1788366.0
55,15.0,659576.2666666667,265315.02816260484,512635.0886298249,806517.4447035085,315657.4,567267.5,664138.0,748810.0,980570.9999999999,163357.0,1151155.0
56,15.0,602621.8,205776.6714964829,488655.1440906263,716588.4559093738,318366.4,530550.5,601313.0,732662.5,809568.0,176308.0,910942.0
57,15.0,657792.7333333333,233447.64375381803,528500.8797181377,787084.5869485289,335442.60000000003,551234.5,666898.0,830068.0,899663.0,202000.0,1015814.0
58,15.0,681385.2,275430.1842819701,528841.8781023319,833928.521897668,347041.60000000003,559431.5,670045.0,816203.5,970950.2,202000.0,1272179.0
59,15.0,636393.3333333334,211120.31490586686,519467.17202759563,753319.4946390712,352202.00000000006,538526.0,645213.0,773274.0,879081.2,202000.0,905507.0
60,15.0,658814.9333333333,223552.13746956107,535003.573457032,782626.2932096347,362200.0,556299.5,653090.0,794420.0,888543.2,216802.0,1047144.0
61,15.0,629191.6666666666,203660.8383263938,516396.8366455413,741986.4966877919,373033.60000000003,520483.0,645144.0,702097.5,903912.0,219966.0,941564.0
62,15.0,614431.4,196765.82362392102,505455.2816062528,723407.5183937472,349287.6,496999.5,671170.0,713311.0,829199.6,219552.0,914712.0
63,15.0,631068.0,236310.17420482406,500190.77219944407,761945.227800556,365515.2,489490.0,632106.0,733561.5,811278.0,223468.0,1205785.0
64,15.0,643369.7333333333,271804.62860572344,492834.3769316089,793905.0897350577,379999.8,521117.0,652626.0,712668.0,791307.6,219552.0,1433005.0
65,15.0,616238.1333333333,269727.44623624015,466853.1965911472,765623.0700755194,377750.8,458374.0,618545.0,690085.5,707872.8,219552.0,1433005.0
66,15.0,616965.8,233725.5818375778,487520.01409634046,746411.5859036597,392005.6,528226.5,629875.0,685730.5,735692.0,205414.0,1281496.0
67,15.0,636520.1333333333,244689.5932590241,501002.07641874056,772038.190247926,397079.0,455805.5,665370.0,743575.5,905151.2,200223.0,1164675.0
68,15.0,625171.8666666667,209623.72530964916,509074.5714821919,741269.1618511415,405955.0,456308.0,674861.0,768003.0,808382.0,203839.0,1006258.0
69,15.0,685206.9333333333,225209.1818625731,560477.841593689,809936.0250729776,439850.60000000003,518035.5,747452.0,824850.5,927708.7999999999,218266.0,1040779.0
70,14.0,641033.9285714285,190271.2385785757,531193.3331223418,750874.5240205153,407416.3,515620.0,628129.5,824680.5,850826.8,277325.0,867379.0
