sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,460722.0,259379.23103000034,317068.2837752273,604375.7162247726,146587.6,255731.0,477841.0,596277.0,814865.8,38925.0,871460.0
1,15.0,556165.2,763641.265936827,133232.70352063852,979097.6964793614,142351.0,179592.0,303849.0,414234.5,1191384.5999999999,65472.0,3030643.0
2,15.0,468862.6666666667,474696.84212297405,205958.17280901392,731767.1605243194,84740.8,141733.0,459829.0,537439.5,832043.3999999999,33212.0,1918598.0
3,15.0,275774.13333333336,144071.52371992514,195982.0478130438,355566.2188536229,95633.40000000001,172629.5,258874.0,367727.0,461638.6,53208.0,522123.0
4,15.0,603885.8666666667,572163.847634807,287000.57606027287,920771.1572730605,99362.0,164240.5,428138.0,789043.5,1461548.4,71966.0,1895261.0
5,15.0,411958.6666666667,354570.29343229905,215584.65432885318,608332.6790044801,52573.4,138952.5,280787.0,702713.5,817025.6,34083.0,1193130.0
6,15.0,589910.3333333334,806588.4947309755,143192.0888843459,1036628.5777823208,100643.8,179297.0,278234.0,497739.5,1444501.2,16799.0,3039738.0
7,15.0,721870.6666666666,1076620.756619172,125598.66740554536,1318142.6659277878,59077.6,236079.0,513811.0,766423.5,850333.6,7887.0,4472097.0
8,15.0,310278.5333333333,203196.83303453986,197740.68643401808,422816.3802326486,109266.20000000001,160669.0,270482.0,403289.5,549354.2,19941.0,781443.0
9,15.0,518913.73333333334,477323.0122529287,254554.77029128064,783272.6963753861,67316.6,168024.0,359596.0,795418.5,990392.7999999999,42455.0,1736696.0
10,15.0,649506.3333333334,749776.8215485064,234252.47385148692,1064760.19281518,139961.4,160619.5,248636.0,839936.5,1716566.5999999999,54252.0,2507863.0
11,15.0,670341.2,855613.8811264777,196470.90132869605,1144211.498671304,90300.0,131566.5,203842.0,988288.0,1965949.1999999997,71569.0,2601852.0
12,15.0,534295.4666666667,967329.162129924,-1446.8454712190432,1070037.7788045523,48895.600000000006,71587.5,287811.0,458104.0,869591.7999999998,21247.0,3883688.0
13,15.0,811149.9333333333,1494321.6421135454,-16460.111897647264,1638759.978564314,96796.0,204355.5,331387.0,614511.0,1254396.5999999999,38523.0,6042348.0
14,15.0,490809.3333333333,419728.86550650885,258348.1177711518,723270.5488955148,121101.40000000002,281388.5,344394.0,531111.0,1070271.5999999999,63862.0,1566472.0
15,15.0,1490845.4,2340462.417636456,194611.608871961,2787079.191128039,74173.20000000001,391746.5,565222.0,1247382.0,3801834.999999999,3435.0,8617299.0
16,15.0,649222.8666666667,1330227.17668889,-87505.65471770056,1385951.388051034,48531.0,124043.5,201824.0,516144.0,1100333.7999999996,13073.0,5274813.0
17,15.0,636661.3333333334,746957.0842519924,222969.1476208681,1050353.5190457986,54343.8,180925.0,369630.0,852819.0,1272371.4,29261.0,2893521.0
18,15.0,501964.26666666666,341673.1019741503,312733.1912342802,691195.3420990531,164014.40000000002,266568.0,369277.0,682326.5,1059698.6,105625.0,1095082.0
19,15.0,535307.8,724885.757450806,133839.5232890814,936776.0767109187,121652.4,209887.5,250121.0,553477.0,945561.9999999999,59222.0,2962048.0
20,15.0,970373.8666666667,2029707.7566921466,-153752.6138584814,2094500.3471918148,77372.8,144439.0,344232.0,563598.0,1833337.1999999993,48420.0,7962937.0
21,15.0,356939.73333333334,371424.6688827198,151231.1506890003,562648.3159776664,126214.8,172148.5,206501.0,401092.0,622722.2,33785.0,1544520.0
22,15.0,601663.2,1011183.729360877,41632.62264080648,1161693.7773591934,95955.0,126294.0,230768.0,519978.0,1209115.4,804.0,3993414.0
23,15.0,581005.6666666666,621893.492213632,236578.2778671485,925433.0554661847,124007.0,182771.5,360377.0,731138.0,1074952.6,94429.0,2489758.0
24,15.0,574477.5333333333,601187.0762560242,241518.11592918984,907436.9507374768,92607.40000000001,155379.5,266361.0,796136.0,1552778.2,26497.0,1840592.0
25,15.0,257096.6,159066.50402529302,168999.74529279652,345193.4547072035,63188.200000000004,159274.5,241008.0,322736.5,466521.39999999997,19095.0,572500.0
26,15.0,280747.6666666667,235585.59246289922,150271.73876789078,411223.5945654426,85065.2,121780.0,218288.0,350518.5,462488.99999999994,61165.0,994920.0
27,15.0,445915.4666666667,295454.0255233984,282282.20824631164,609548.7250870217,171988.40000000002,247324.0,370102.0,603046.5,759890.0,71548.0,1179860.0
