t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
16664.354,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16664.354]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,0,high,run09,client
16664.354,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16664.354]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,1,high,run09,client
16667.419,new_foreign_master,1.0,,,e6aa70.fffe.fdbfd1-2,ptp4l[16667.419]: port 1: new foreign master e6aa70.fffe.fdbfd1-2,3.0650000000023283,3,2,high,run09,client
16767.95,best_master,,,,366194.fffe.d0c03b,ptp4l[16767.950]: selected best master clock 366194.fffe.d0c03b,103.59600000000137,104,3,high,run09,client
16767.951,ptp_timescale_mismatch,,,,,ptp4l[16767.951]: foreign master not using PTP timescale,103.59700000000157,104,4,high,run09,client
16767.951,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[16767.951]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,103.59700000000157,104,5,high,run09,client
16775.599,state,1.0,UNCALIBRATED,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16775.599]: port 1: UNCALIBRATED to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,111.24499999999898,111,6,high,run09,client
16867.007,best_master,,,,366194.fffe.d0c03b,ptp4l[16867.007]: selected best master clock 366194.fffe.d0c03b,202.65300000000207,203,7,high,run09,client
16867.008,ptp_timescale_mismatch,,,,,ptp4l[16867.008]: foreign master not using PTP timescale,202.65400000000227,203,8,high,run09,client
16867.008,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[16867.008]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,202.65400000000227,203,9,high,run09,client
16873.856,state,1.0,UNCALIBRATED,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16873.856]: port 1: UNCALIBRATED to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,209.5020000000004,210,10,high,run09,client
16891.331,best_master,,,,366194.fffe.d0c03b,ptp4l[16891.331]: selected best master clock 366194.fffe.d0c03b,226.97699999999895,227,11,high,run09,client
16891.331,ptp_timescale_mismatch,,,,,ptp4l[16891.331]: foreign master not using PTP timescale,226.97699999999895,227,12,high,run09,client
16891.331,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[16891.331]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,226.97699999999895,227,13,high,run09,client
16897.886,state,1.0,UNCALIBRATED,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16897.886]: port 1: UNCALIBRATED to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,233.53199999999924,234,14,high,run09,client
