t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
16966.582,-431155,0,4838185,844354,ptp4l[16966.582]: master offset    -431155 s0 freq +4838185 path delay    844354,0.0,0,0,high,run10,boundary
16967.582,-474515,0,4838185,725918,ptp4l[16967.582]: master offset    -474515 s0 freq +4838185 path delay    725918,1.0,1,1,high,run10,boundary
16968.585,789724,0,4838185,607483,ptp4l[16968.585]: master offset     789724 s0 freq +4838185 path delay    607483,2.003000000000611,2,2,high,run10,boundary
16969.586,1274078,0,4838185,607483,ptp4l[16969.586]: master offset    1274078 s0 freq +4838185 path delay    607483,3.004000000000815,3,3,high,run10,boundary
16970.586,459847,0,4838185,844354,ptp4l[16970.586]: master offset     459847 s0 freq +4838185 path delay    844354,4.004000000000815,4,4,high,run10,boundary
16971.586,-288586,0,4838185,947342,ptp4l[16971.586]: master offset    -288586 s0 freq +4838185 path delay    947342,5.004000000000815,5,5,high,run10,boundary
16972.586,238932,0,4838185,947342,ptp4l[16972.586]: master offset     238932 s0 freq +4838185 path delay    947342,6.004000000000815,6,6,high,run10,boundary
16973.587,937837,0,4838185,997919,ptp4l[16973.587]: master offset     937837 s0 freq +4838185 path delay    997919,7.005000000001019,7,7,high,run10,boundary
16974.586,-450870,0,4838185,1050331,ptp4l[16974.586]: master offset    -450870 s0 freq +4838185 path delay   1050331,8.004000000000815,8,8,high,run10,boundary
16975.587,-141831,0,4838185,1050331,ptp4l[16975.587]: master offset    -141831 s0 freq +4838185 path delay   1050331,9.005000000001019,9,9,high,run10,boundary
16976.588,183670,0,4838185,1024125,ptp4l[16976.588]: master offset     183670 s0 freq +4838185 path delay   1024125,10.006000000001222,10,10,high,run10,boundary
16977.589,54216,0,4838185,1024125,ptp4l[16977.589]: master offset      54216 s0 freq +4838185 path delay   1024125,11.007000000001426,11,11,high,run10,boundary
16978.589,318795,0,4838185,1178136,ptp4l[16978.589]: master offset     318795 s0 freq +4838185 path delay   1178136,12.007000000001426,12,12,high,run10,boundary
16979.592,2012477,0,4838185,1178136,ptp4l[16979.592]: master offset    2012477 s0 freq +4838185 path delay   1178136,13.010000000002037,13,13,high,run10,boundary
16980.59,-1021699,0,4838185,1561118,ptp4l[16980.590]: master offset   -1021699 s0 freq +4838185 path delay   1561118,14.00800000000163,14,14,high,run10,boundary
16981.593,772060,0,4838185,1277020,ptp4l[16981.593]: master offset     772060 s0 freq +4838185 path delay   1277020,15.011000000002241,15,15,high,run10,boundary
16982.591,-1105054,1,4796292,1508468,ptp4l[16982.591]: master offset   -1105054 s1 freq +4796292 path delay   1508468,16.009000000001834,16,16,high,run10,boundary
16983.592,-680210,2,4727591,1508468,ptp4l[16983.592]: master offset    -680210 s2 freq +4727591 path delay   1508468,17.010000000002037,17,17,high,run10,boundary
16984.592,-724442,2,4722444,1508468,ptp4l[16984.592]: master offset    -724442 s2 freq +4722444 path delay   1508468,18.010000000002037,18,18,high,run10,boundary
