t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
18167.993,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[18167.993]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,0,high,run14,boundary
18167.993,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[18167.993]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,1,high,run14,boundary
18167.993,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[18167.993]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,2,high,run14,boundary
18172.465,new_foreign_master,1.0,,,2232d9.fffe.d23fa0-1,ptp4l[18172.465]: port 1: new foreign master 2232d9.fffe.d23fa0-1,4.472000000001572,4,3,high,run14,boundary
18174.153,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18174.153]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.1599999999998545,6,4,high,run14,boundary
18175.369,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18175.369]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,7.376000000000204,7,5,high,run14,boundary
18176.18,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18176.180]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),8.187000000001717,8,6,high,run14,boundary
18176.47,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18176.470]: selected best master clock 2232d9.fffe.d23fa0,8.47700000000259,8,7,high,run14,boundary
18176.47,ptp_timescale_mismatch,,,,,ptp4l[18176.470]: foreign master not using PTP timescale,8.47700000000259,8,8,high,run14,boundary
18176.47,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[18176.470]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,8.47700000000259,8,9,high,run14,boundary
18192.184,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18192.184]: port 2: FAULTY to LISTENING on INIT_COMPLETE,24.191000000002532,24,10,high,run14,boundary
18195.487,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[18195.487]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,27.494000000002416,27,11,high,run14,boundary
18198.93,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18198.930]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,30.937000000001717,31,12,high,run14,boundary
18198.931,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18198.931]: selected best master clock 2232d9.fffe.d23fa0,30.93800000000192,31,13,high,run14,boundary
18198.931,ptp_timescale_mismatch,,,,,ptp4l[18198.931]: foreign master not using PTP timescale,30.93800000000192,31,14,high,run14,boundary
18201.957,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18201.957]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),33.96399999999994,34,15,high,run14,boundary
18217.962,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18217.962]: port 2: FAULTY to LISTENING on INIT_COMPLETE,49.96900000000096,50,16,high,run14,boundary
18225.447,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18225.447]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,57.45400000000154,57,17,high,run14,boundary
18225.447,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18225.447]: selected best master clock 2232d9.fffe.d23fa0,57.45400000000154,57,18,high,run14,boundary
18225.447,ptp_timescale_mismatch,,,,,ptp4l[18225.447]: foreign master not using PTP timescale,57.45400000000154,57,19,high,run14,boundary
18226.472,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18226.472]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),58.479000000003,58,20,high,run14,boundary
18242.476,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18242.476]: port 2: FAULTY to LISTENING on INIT_COMPLETE,74.48300000000017,74,21,high,run14,boundary
18250.118,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18250.118]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,82.125,82,22,high,run14,boundary
18250.118,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18250.118]: selected best master clock 2232d9.fffe.d23fa0,82.125,82,23,high,run14,boundary
18250.118,ptp_timescale_mismatch,,,,,ptp4l[18250.118]: foreign master not using PTP timescale,82.125,82,24,high,run14,boundary
18251.141,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18251.141]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),83.14800000000105,83,25,high,run14,boundary
18267.145,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18267.145]: port 2: FAULTY to LISTENING on INIT_COMPLETE,99.15200000000186,99,26,high,run14,boundary
