t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
7907.922,729373,783657,-1976075,0,927558,95324,ptp4l[7907.922]: rms 729373 max 783657 freq -1976075 +/-   0 delay 927558 +/- 95324,0.0,0,0,low,run10,client
7909.924,457062,637781,-1976075,0,929571,210462,ptp4l[7909.924]: rms 457062 max 637781 freq -1976075 +/-   0 delay 929571 +/- 210462,2.0020000000004075,2,1,low,run10,client
7911.926,317724,437072,-1976075,0,782340,0,ptp4l[7911.926]: rms 317724 max 437072 freq -1976075 +/-   0 delay 782340 +/-   0,4.004000000000815,4,2,low,run10,client
7913.93,142947,163781,-1976075,0,658439,38751,ptp4l[7913.930]: rms 142947 max 163781 freq -1976075 +/-   0 delay 658439 +/- 38751,6.00800000000072,6,3,low,run10,client
7915.928,183731,256504,-1976075,0,615864,0,ptp4l[7915.928]: rms 183731 max 256504 freq -1976075 +/-   0 delay 615864 +/-   0,8.006000000000313,8,4,low,run10,client
7917.933,1020423,1401904,-1976075,0,623776,11189,ptp4l[7917.933]: rms 1020423 max 1401904 freq -1976075 +/-   0 delay 623776 +/- 11189,10.011000000000422,10,5,low,run10,client
7919.937,325219,392517,-1976075,0,639599,0,ptp4l[7919.937]: rms 325219 max 392517 freq -1976075 +/-   0 delay 639599 +/-   0,12.015000000000327,12,6,low,run10,client
7921.934,922922,1283670,-1976075,0,719728,24826,ptp4l[7921.934]: rms 922922 max 1283670 freq -1976075 +/-   0 delay 719728 +/- 24826,14.012000000000626,14,7,low,run10,client
7923.936,164933,209933,-1945318,5134,754837,0,ptp4l[7923.936]: rms 164933 max 209933 freq -1945318 +/- 5134 delay 754837 +/-   0,16.014000000000124,16,8,low,run10,client
7925.938,258908,360775,-1918879,15094,754837,0,ptp4l[7925.938]: rms 258908 max 360775 freq -1918879 +/- 15094 delay 754837 +/-   0,18.01600000000053,18,9,low,run10,client
7927.941,51568,53650,-1945092,239,837306,0,ptp4l[7927.941]: rms 51568 max 53650 freq -1945092 +/- 239 delay 837306 +/-   0,20.019000000000233,20,10,low,run10,client
