t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
8198.543,-328619,0,-720275,1125514,ptp4l[8198.543]: master offset    -328619 s0 freq -720275 path delay   1125514,0.0,0,0,low,run11,boundary
8199.543,-440828,0,-720275,982327,ptp4l[8199.543]: master offset    -440828 s0 freq -720275 path delay    982327,1.0,1,1,low,run11,boundary
8200.545,1557210,0,-720275,839141,ptp4l[8200.545]: master offset    1557210 s0 freq -720275 path delay    839141,2.0020000000004075,2,2,low,run11,boundary
8201.544,-338847,0,-720275,839141,ptp4l[8201.544]: master offset    -338847 s0 freq -720275 path delay    839141,3.0010000000002037,3,3,low,run11,boundary
8202.546,360794,0,-720275,831694,ptp4l[8202.546]: master offset     360794 s0 freq -720275 path delay    831694,4.003000000000611,4,4,low,run11,boundary
8203.545,-308392,0,-720275,839141,ptp4l[8203.545]: master offset    -308392 s0 freq -720275 path delay    839141,5.0020000000004075,5,5,low,run11,boundary
8204.548,589442,0,-720275,831694,ptp4l[8204.548]: master offset     589442 s0 freq -720275 path delay    831694,6.005000000001019,6,6,low,run11,boundary
8205.546,-588004,0,-720275,905354,ptp4l[8205.546]: master offset    -588004 s0 freq -720275 path delay    905354,7.003000000000611,7,7,low,run11,boundary
8206.548,40945,0,-720275,905354,ptp4l[8206.548]: master offset      40945 s0 freq -720275 path delay    905354,8.005000000001019,8,8,low,run11,boundary
8207.548,-173902,0,-720275,839141,ptp4l[8207.548]: master offset    -173902 s0 freq -720275 path delay    839141,9.005000000001019,9,9,low,run11,boundary
8208.549,-67370,0,-720275,839141,ptp4l[8208.549]: master offset     -67370 s0 freq -720275 path delay    839141,10.006000000001222,10,10,low,run11,boundary
8209.549,-289736,0,-720275,821069,ptp4l[8209.549]: master offset    -289736 s0 freq -720275 path delay    821069,11.006000000001222,11,11,low,run11,boundary
8210.55,-55005,0,-720275,821069,ptp4l[8210.550]: master offset     -55005 s0 freq -720275 path delay    821069,12.006999999999607,12,12,low,run11,boundary
8211.55,376335,0,-720275,821069,ptp4l[8211.550]: master offset     376335 s0 freq -720275 path delay    821069,13.006999999999607,13,13,low,run11,boundary
8212.551,-27102,0,-720275,897907,ptp4l[8212.551]: master offset     -27102 s0 freq -720275 path delay    897907,14.00799999999981,14,14,low,run11,boundary
8213.551,-81586,0,-720275,894730,ptp4l[8213.551]: master offset     -81586 s0 freq -720275 path delay    894730,15.00799999999981,15,15,low,run11,boundary
8214.553,-17081,2,-700802,793102,ptp4l[8214.553]: master offset     -17081 s2 freq -700802 path delay    793102,16.01000000000022,16,16,low,run11,boundary
8215.553,-312599,2,-732375,793102,ptp4l[8215.553]: master offset    -312599 s2 freq -732375 path delay    793102,17.01000000000022,17,17,low,run11,boundary
8216.553,133208,2,-687661,763282,ptp4l[8216.553]: master offset     133208 s2 freq -687661 path delay    763282,18.01000000000022,18,18,low,run11,boundary
8217.553,-249387,2,-726170,763282,ptp4l[8217.553]: master offset    -249387 s2 freq -726170 path delay    763282,19.01000000000022,19,19,low,run11,boundary
8218.555,166851,2,-684379,763282,ptp4l[8218.555]: master offset     166851 s2 freq -684379 path delay    763282,20.012000000000626,20,20,low,run11,boundary
8219.554,-405495,2,-742019,763282,ptp4l[8219.554]: master offset    -405495 s2 freq -742019 path delay    763282,21.011000000000422,21,21,low,run11,boundary
8220.555,-512275,2,-753209,799557,ptp4l[8220.555]: master offset    -512275 s2 freq -753209 path delay    799557,22.012000000000626,22,22,low,run11,boundary
8221.556,424457,2,-659112,682843,ptp4l[8221.556]: master offset     424457 s2 freq -659112 path delay    682843,23.01300000000083,23,23,low,run11,boundary
8222.557,175689,2,-683813,682843,ptp4l[8222.557]: master offset     175689 s2 freq -683813 path delay    682843,24.014000000001033,24,24,low,run11,boundary
8223.557,-192882,2,-720863,682843,ptp4l[8223.557]: master offset    -192882 s2 freq -720863 path delay    682843,25.014000000001033,25,25,low,run11,boundary
8224.558,105987,2,-690870,737121,ptp4l[8224.558]: master offset     105987 s2 freq -690870 path delay    737121,26.015000000001237,26,26,low,run11,boundary
8225.558,-231492,2,-724849,727199,ptp4l[8225.558]: master offset    -231492 s2 freq -724849 path delay    727199,27.015000000001237,27,27,low,run11,boundary
8226.559,625262,2,-638549,601933,ptp4l[8226.559]: master offset     625262 s2 freq -638549 path delay    601933,28.01599999999962,28,28,low,run11,boundary
8227.559,159247,2,-684991,601933,ptp4l[8227.559]: master offset     159247 s2 freq -684991 path delay    601933,29.01599999999962,29,29,low,run11,boundary
8228.561,245593,2,-676111,701048,ptp4l[8228.561]: master offset     245593 s2 freq -676111 path delay    701048,30.01800000000003,30,30,low,run11,boundary
8229.561,-247072,2,-725624,717018,ptp4l[8229.561]: master offset    -247072 s2 freq -725624 path delay    717018,31.01800000000003,31,31,low,run11,boundary
8230.562,184628,2,-682270,717018,ptp4l[8230.562]: master offset     184628 s2 freq -682270 path delay    717018,32.01900000000023,32,32,low,run11,boundary
8231.561,-294319,2,-730459,842206,ptp4l[8231.561]: master offset    -294319 s2 freq -730459 path delay    842206,33.01800000000003,33,33,low,run11,boundary
8232.564,225264,2,-678275,842206,ptp4l[8232.564]: master offset     225264 s2 freq -678275 path delay    842206,34.02100000000064,34,34,low,run11,boundary
8233.563,2084,2,-700591,842206,ptp4l[8233.563]: master offset       2084 s2 freq -700591 path delay    842206,35.02000000000044,35,35,low,run11,boundary
8234.565,176366,2,-682987,842206,ptp4l[8234.565]: master offset     176366 s2 freq -682987 path delay    842206,36.022000000000844,36,36,low,run11,boundary
8235.565,-411910,2,-742226,853663,ptp4l[8235.565]: master offset    -411910 s2 freq -742226 path delay    853663,37.022000000000844,37,37,low,run11,boundary
8236.567,68555,2,-694111,853663,ptp4l[8236.567]: master offset      68555 s2 freq -694111 path delay    853663,38.02399999999943,38,38,low,run11,boundary
8237.566,-440718,2,-745479,885198,ptp4l[8237.566]: master offset    -440718 s2 freq -745479 path delay    885198,39.02300000000105,39,39,low,run11,boundary
8238.568,100398,2,-691267,885198,ptp4l[8238.568]: master offset     100398 s2 freq -691267 path delay    885198,40.024999999999636,40,40,low,run11,boundary
8239.568,-423429,2,-744073,886226,ptp4l[8239.568]: master offset    -423429 s2 freq -744073 path delay    886226,41.024999999999636,41,41,low,run11,boundary
8240.569,162565,2,-685311,886226,ptp4l[8240.569]: master offset     162565 s2 freq -685311 path delay    886226,42.02599999999984,42,42,low,run11,boundary
8241.57,1399939,2,-560174,886226,ptp4l[8241.570]: master offset    1399939 s2 freq -560174 path delay    886226,43.027000000000044,43,43,low,run11,boundary
8242.571,205593,2,-679403,886226,ptp4l[8242.571]: master offset     205593 s2 freq -679403 path delay    886226,44.02800000000025,44,44,low,run11,boundary
8243.571,-338391,2,-734140,900281,ptp4l[8243.571]: master offset    -338391 s2 freq -734140 path delay    900281,45.02800000000025,45,45,low,run11,boundary
8244.573,93177,2,-690890,900281,ptp4l[8244.573]: master offset      93177 s2 freq -690890 path delay    900281,46.030000000000655,46,46,low,run11,boundary
8245.573,-180370,2,-718425,900281,ptp4l[8245.573]: master offset    -180370 s2 freq -718425 path delay    900281,47.030000000000655,47,47,low,run11,boundary
8246.574,194379,2,-680755,965753,ptp4l[8246.574]: master offset     194379 s2 freq -680755 path delay    965753,48.03100000000086,48,48,low,run11,boundary
8247.575,-4702,2,-700668,878693,ptp4l[8247.575]: master offset      -4702 s2 freq -700668 path delay    878693,49.03200000000106,49,49,low,run11,boundary
8248.576,88649,2,-691244,813919,ptp4l[8248.576]: master offset      88649 s2 freq -691244 path delay    813919,50.03299999999945,50,50,low,run11,boundary
8249.576,-558936,2,-756562,886706,ptp4l[8249.576]: master offset    -558936 s2 freq -756562 path delay    886706,51.03299999999945,51,51,low,run11,boundary
8250.577,-56522,2,-706377,886706,ptp4l[8250.577]: master offset     -56522 s2 freq -706377 path delay    886706,52.03399999999965,52,52,low,run11,boundary
