t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
10360.178,-1620411,0,-8976606,1984892,ptp4l[10360.178]: master offset   -1620411 s0 freq -8976606 path delay   1984892,0.0,0,0,medium,run03,boundary
10361.179,108092,0,-8976606,1150755,ptp4l[10361.179]: master offset     108092 s0 freq -8976606 path delay   1150755,1.0010000000002037,1,1,medium,run03,boundary
10362.18,625038,0,-8976606,1014710,ptp4l[10362.180]: master offset     625038 s0 freq -8976606 path delay   1014710,2.0020000000004075,2,2,medium,run03,boundary
10363.178,-813632,0,-8976606,908337,ptp4l[10363.178]: master offset    -813632 s0 freq -8976606 path delay    908337,3.0,3,3,medium,run03,boundary
10364.179,-771624,0,-8976606,907138,ptp4l[10364.179]: master offset    -771624 s0 freq -8976606 path delay    907138,4.001000000000204,4,4,medium,run03,boundary
10365.179,-690605,0,-8976606,806443,ptp4l[10365.179]: master offset    -690605 s0 freq -8976606 path delay    806443,5.001000000000204,5,5,medium,run03,boundary
10366.18,-598705,0,-8976606,705749,ptp4l[10366.180]: master offset    -598705 s0 freq -8976606 path delay    705749,6.0020000000004075,6,6,medium,run03,boundary
10367.18,-473351,0,-8976606,586605,ptp4l[10367.180]: master offset    -473351 s0 freq -8976606 path delay    586605,7.0020000000004075,7,7,medium,run03,boundary
10368.18,-442171,0,-8976606,586605,ptp4l[10368.180]: master offset    -442171 s0 freq -8976606 path delay    586605,8.002000000000407,8,8,medium,run03,boundary
10369.181,-153937,0,-8976606,326174,ptp4l[10369.181]: master offset    -153937 s0 freq -8976606 path delay    326174,9.003000000000611,9,9,medium,run03,boundary
10370.181,-148143,0,-8976606,326174,ptp4l[10370.181]: master offset    -148143 s0 freq -8976606 path delay    326174,10.003000000000611,10,10,medium,run03,boundary
10371.181,-50364,0,-8976606,178374,ptp4l[10371.181]: master offset     -50364 s0 freq -8976606 path delay    178374,11.003000000000611,11,11,medium,run03,boundary
10372.182,3141,0,-8976606,178374,ptp4l[10372.182]: master offset       3141 s0 freq -8976606 path delay    178374,12.004000000000815,12,12,medium,run03,boundary
10373.182,-77879,0,-8976606,171184,ptp4l[10373.182]: master offset     -77879 s0 freq -8976606 path delay    171184,13.004000000000815,13,13,medium,run03,boundary
10374.183,-3483,0,-8976606,165277,ptp4l[10374.183]: master offset      -3483 s0 freq -8976606 path delay    165277,14.005000000001019,14,14,medium,run03,boundary
10375.183,-33845,0,-8976606,165277,ptp4l[10375.183]: master offset     -33845 s0 freq -8976606 path delay    165277,15.005000000001019,15,15,medium,run03,boundary
10376.183,749,2,-8874407,166386,ptp4l[10376.183]: master offset        749 s2 freq -8874407 path delay    166386,16.00500000000102,16,16,medium,run03,boundary
10377.183,6258,2,-8873775,166386,ptp4l[10377.183]: master offset       6258 s2 freq -8873775 path delay    166386,17.00500000000102,17,17,medium,run03,boundary
10378.184,102518,2,-8864046,177697,ptp4l[10378.184]: master offset     102518 s2 freq -8864046 path delay    177697,18.005999999999403,18,18,medium,run03,boundary
10379.184,57494,2,-8868491,177697,ptp4l[10379.184]: master offset      57494 s2 freq -8868491 path delay    177697,19.005999999999403,19,19,medium,run03,boundary
10380.185,444780,2,-8829318,178364,ptp4l[10380.185]: master offset     444780 s2 freq -8829318 path delay    178364,20.006999999999607,20,20,medium,run03,boundary
10381.185,-68755,2,-8880740,188818,ptp4l[10381.185]: master offset     -68755 s2 freq -8880740 path delay    188818,21.006999999999607,21,21,medium,run03,boundary
10382.186,119660,2,-8861779,188818,ptp4l[10382.186]: master offset     119660 s2 freq -8861779 path delay    188818,22.00799999999981,22,22,medium,run03,boundary
10383.186,74550,2,-8866215,193673,ptp4l[10383.186]: master offset      74550 s2 freq -8866215 path delay    193673,23.00799999999981,23,23,medium,run03,boundary
10384.186,15320,2,-8872123,193673,ptp4l[10384.186]: master offset      15320 s2 freq -8872123 path delay    193673,24.00799999999981,24,24,medium,run03,boundary
10385.186,-48264,2,-8878530,206923,ptp4l[10385.186]: master offset     -48264 s2 freq -8878530 path delay    206923,25.00799999999981,25,25,medium,run03,boundary
10386.187,-33969,2,-8877134,219434,ptp4l[10386.187]: master offset     -33969 s2 freq -8877134 path delay    219434,26.009000000000015,26,26,medium,run03,boundary
10387.187,-62151,2,-8880015,219434,ptp4l[10387.187]: master offset     -62151 s2 freq -8880015 path delay    219434,27.009000000000015,27,27,medium,run03,boundary
10388.188,9621,2,-8872828,219434,ptp4l[10388.188]: master offset       9621 s2 freq -8872828 path delay    219434,28.01000000000022,28,28,medium,run03,boundary
10389.188,1411,2,-8873647,219434,ptp4l[10389.188]: master offset       1411 s2 freq -8873647 path delay    219434,29.01000000000022,29,29,medium,run03,boundary
