t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
10649.502,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[10649.502]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,0,medium,run04,boundary
10649.502,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[10649.502]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,1,medium,run04,boundary
10649.502,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[10649.502]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,2,medium,run04,boundary
10652.578,new_foreign_master,1.0,,,92e834.fffe.1bb470-1,ptp4l[10652.578]: port 1: new foreign master 92e834.fffe.1bb470-1,3.0759999999991123,3,3,medium,run04,boundary
10655.785,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[10655.785]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.282999999999447,6,4,medium,run04,boundary
10655.798,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[10655.798]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.2960000000002765,6,5,medium,run04,boundary
10656.578,best_master,,,,92e834.fffe.1bb470,ptp4l[10656.578]: selected best master clock 92e834.fffe.1bb470,7.075999999999112,7,6,medium,run04,boundary
10656.579,ptp_timescale_mismatch,,,,,ptp4l[10656.579]: foreign master not using PTP timescale,7.076999999999316,7,7,medium,run04,boundary
10656.579,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[10656.579]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,7.076999999999316,7,8,medium,run04,boundary
10676.59,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[10676.590]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,27.087999999999738,27,9,medium,run04,boundary
10716.61,state,1.0,SLAVE,UNCALIBRATED,SYNCHRONIZATION_FAULT,ptp4l[10716.610]: port 1: SLAVE to UNCALIBRATED on SYNCHRONIZATION_FAULT,67.10800000000017,67,10,medium,run04,boundary
10732.624,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[10732.624]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,83.12199999999939,83,11,medium,run04,boundary
10751.859,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[10751.859]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),102.35699999999997,102,12,medium,run04,boundary
10767.861,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[10767.861]: port 2: FAULTY to LISTENING on INIT_COMPLETE,118.35900000000038,118,13,medium,run04,boundary
10775.487,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[10775.487]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,125.98499999999876,126,14,medium,run04,boundary
10775.487,best_master,,,,92e834.fffe.1bb470,ptp4l[10775.487]: selected best master clock 92e834.fffe.1bb470,125.98499999999876,126,15,medium,run04,boundary
10775.487,ptp_timescale_mismatch,,,,,ptp4l[10775.487]: foreign master not using PTP timescale,125.98499999999876,126,16,medium,run04,boundary
10776.648,state,1.0,SLAVE,UNCALIBRATED,SYNCHRONIZATION_FAULT,ptp4l[10776.648]: port 1: SLAVE to UNCALIBRATED on SYNCHRONIZATION_FAULT,127.14599999999882,127,17,medium,run04,boundary
10792.665,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[10792.665]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,143.16300000000047,143,18,medium,run04,boundary
10835.679,state,1.0,SLAVE,UNCALIBRATED,SYNCHRONIZATION_FAULT,ptp4l[10835.679]: port 1: SLAVE to UNCALIBRATED on SYNCHRONIZATION_FAULT,186.17699999999968,186,19,medium,run04,boundary
10851.696,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[10851.696]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,202.1939999999995,202,20,medium,run04,boundary
10863.556,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[10863.556]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),214.0540000000001,214,21,medium,run04,boundary
10879.557,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[10879.557]: port 2: FAULTY to LISTENING on INIT_COMPLETE,230.0550000000003,230,22,medium,run04,boundary
10886.322,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[10886.322]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,236.8199999999997,237,23,medium,run04,boundary
10886.322,best_master,,,,92e834.fffe.1bb470,ptp4l[10886.322]: selected best master clock 92e834.fffe.1bb470,236.8199999999997,237,24,medium,run04,boundary
10886.322,ptp_timescale_mismatch,,,,,ptp4l[10886.322]: foreign master not using PTP timescale,236.8199999999997,237,25,medium,run04,boundary
10895.716,state,1.0,SLAVE,UNCALIBRATED,SYNCHRONIZATION_FAULT,ptp4l[10895.716]: port 1: SLAVE to UNCALIBRATED on SYNCHRONIZATION_FAULT,246.21399999999994,246,26,medium,run04,boundary
