t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
12745.102,815115,955441,2565949,0,1414641,0,ptp4l[12745.102]: rms 815115 max 955441 freq +2565949 +/-   0 delay 1414641 +/-   0,0.0,0,0,medium,run11,client
12747.113,413167,572344,2565949,0,635512,247376,ptp4l[12747.113]: rms 413167 max 572344 freq +2565949 +/-   0 delay 635512 +/- 247376,2.010999999998603,2,1,medium,run11,client
12749.108,896209,1155815,2565949,0,445158,22307,ptp4l[12749.108]: rms 896209 max 1155815 freq +2565949 +/-   0 delay 445158 +/- 22307,4.005999999999403,4,2,medium,run11,client
12751.117,342445,478811,2565949,0,525660,6072,ptp4l[12751.117]: rms 342445 max 478811 freq +2565949 +/-   0 delay 525660 +/- 6072,6.014999999999418,6,3,medium,run11,client
12753.122,120899,142022,2565949,0,543877,0,ptp4l[12753.122]: rms 120899 max 142022 freq +2565949 +/-   0 delay 543877 +/-   0,8.019999999998618,8,4,medium,run11,client
12755.112,185069,192444,2565949,0,594742,33516,ptp4l[12755.112]: rms 185069 max 192444 freq +2565949 +/-   0 delay 594742 +/- 33516,10.0099999999984,10,5,medium,run11,client
12757.112,325206,358504,2565949,0,645606,0,ptp4l[12757.112]: rms 325206 max 358504 freq +2565949 +/-   0 delay 645606 +/-   0,12.0099999999984,12,6,medium,run11,client
12759.131,608961,852015,2565949,0,645606,0,ptp4l[12759.131]: rms 608961 max 852015 freq +2565949 +/-   0 delay 645606 +/-   0,14.028999999998632,14,7,medium,run11,client
12761.13,781443,1101180,2679408,4713,724728,7050,ptp4l[12761.130]: rms 781443 max 1101180 freq +2679408 +/- 4713 delay 724728 +/- 7050,16.02799999999843,16,8,medium,run11,client
12763.139,744221,1034548,2717165,61919,717678,0,ptp4l[12763.139]: rms 744221 max 1034548 freq +2717165 +/- 61919 delay 717678 +/-   0,18.036999999998443,18,9,medium,run11,client
12765.127,1072005,1373358,2778096,36242,817681,70713,ptp4l[12765.127]: rms 1072005 max 1373358 freq +2778096 +/- 36242 delay 817681 +/- 70713,20.024999999999636,20,10,medium,run11,client
12767.138,317807,397070,2646854,9524,961374,0,ptp4l[12767.138]: rms 317807 max 397070 freq +2646854 +/- 9524 delay 961374 +/-   0,22.036000000000058,22,11,medium,run11,client
12769.141,302015,406705,2649707,13747,961374,0,ptp4l[12769.141]: rms 302015 max 406705 freq +2649707 +/- 13747 delay 961374 +/-   0,24.03899999999885,24,12,medium,run11,client
12771.143,495996,683059,2633607,26096,885338,76036,ptp4l[12771.143]: rms 495996 max 683059 freq +2633607 +/- 26096 delay 885338 +/- 76036,26.040999999999258,26,13,medium,run11,client
12773.131,327400,375496,2670511,32507,691859,0,ptp4l[12773.131]: rms 327400 max 375496 freq +2670511 +/- 32507 delay 691859 +/-   0,28.028999999998632,28,14,medium,run11,client
12775.142,382395,535184,2644337,22838,691859,0,ptp4l[12775.142]: rms 382395 max 535184 freq +2644337 +/- 22838 delay 691859 +/-   0,30.039999999999054,30,15,medium,run11,client
12777.153,52710,69991,2672666,4795,623675,26519,ptp4l[12777.153]: rms 52710 max 69991 freq +2672666 +/- 4795 delay 623675 +/- 26519,32.050999999999476,32,16,medium,run11,client
12779.155,1259061,1779040,2760960,93545,535585,17804,ptp4l[12779.155]: rms 1259061 max 1779040 freq +2760960 +/- 93545 delay 535585 +/- 17804,34.052999999999884,34,17,medium,run11,client
12781.156,1070599,1434233,2774245,47213,510406,0,ptp4l[12781.156]: rms 1070599 max 1434233 freq +2774245 +/- 47213 delay 510406 +/-   0,36.05400000000009,36,18,medium,run11,client
12783.157,214730,269763,2699320,6446,618528,32892,ptp4l[12783.157]: rms 214730 max 269763 freq +2699320 +/- 6446 delay 618528 +/- 32892,38.05499999999847,38,19,medium,run11,client
12785.163,147366,167720,2681236,14633,665760,0,ptp4l[12785.163]: rms 147366 max 167720 freq +2681236 +/- 14633 delay 665760 +/-   0,40.060999999999694,40,20,medium,run11,client
12787.157,206501,283736,2661119,10872,655155,7499,ptp4l[12787.157]: rms 206501 max 283736 freq +2661119 +/- 10872 delay 655155 +/- 7499,42.05499999999847,42,21,medium,run11,client
12789.176,132761,161637,2665553,3258,635352,0,ptp4l[12789.176]: rms 132761 max 161637 freq +2665553 +/- 3258 delay 635352 +/-   0,44.073999999998705,44,22,medium,run11,client
12818.218,407016,575227,2706345,30095,480629,110964,ptp4l[12818.218]: rms 407016 max 575227 freq +2706345 +/- 30095 delay 480629 +/- 110964,73.11599999999999,73,23,medium,run11,client
12820.219,1840592,2601174,2541347,125149,1739969,1363497,ptp4l[12820.219]: rms 1840592 max 2601174 freq +2541347 +/- 125149 delay 1739969 +/- 1363497,75.11699999999837,75,24,medium,run11,client
12822.23,355678,463215,2689941,33063,374770,1702,ptp4l[12822.230]: rms 355678 max 463215 freq +2689941 +/- 33063 delay 374770 +/- 1702,77.12799999999879,77,25,medium,run11,client
12824.232,517035,690532,2699561,46669,381485,9598,ptp4l[12824.232]: rms 517035 max 690532 freq +2699561 +/- 46669 delay 381485 +/- 9598,79.1299999999992,79,26,medium,run11,client
12826.231,237848,336142,2693458,17429,376472,0,ptp4l[12826.231]: rms 237848 max 336142 freq +2693458 +/- 17429 delay 376472 +/-   0,81.128999999999,81,27,medium,run11,client
12828.23,116923,144536,2680575,11283,383992,10924,ptp4l[12828.230]: rms 116923 max 144536 freq +2680575 +/- 11283 delay 383992 +/- 10924,83.12799999999879,83,28,medium,run11,client
12830.237,854539,1140502,2755673,36842,396245,8120,ptp4l[12830.237]: rms 854539 max 1140502 freq +2755673 +/- 36842 delay 396245 +/- 8120,85.1349999999984,85,29,medium,run11,client
12832.238,189595,199935,2677879,19030,481366,0,ptp4l[12832.238]: rms 189595 max 199935 freq +2677879 +/- 19030 delay 481366 +/-   0,87.1359999999986,87,30,medium,run11,client
12834.243,494317,631329,2695881,46727,577244,36161,ptp4l[12834.243]: rms 494317 max 631329 freq +2695881 +/- 46727 delay 577244 +/- 36161,89.14099999999962,89,31,medium,run11,client
12836.244,143706,178601,2683386,13827,717930,76962,ptp4l[12836.244]: rms 143706 max 178601 freq +2683386 +/- 13827 delay 717930 +/- 76962,91.14199999999983,91,32,medium,run11,client
12838.245,363895,378489,2642359,1679,853380,0,ptp4l[12838.245]: rms 363895 max 378489 freq +2642359 +/- 1679 delay 853380 +/-   0,93.14300000000003,93,33,medium,run11,client
12840.239,3738808,5272670,2924635,286038,819238,34142,ptp4l[12840.239]: rms 3738808 max 5272670 freq +2924635 +/- 286038 delay 819238 +/- 34142,95.1369999999988,95,34,medium,run11,client
12842.233,441212,505220,2639217,7205,784983,0,ptp4l[12842.233]: rms 441212 max 505220 freq +2639217 +/- 7205 delay 784983 +/-   0,97.1309999999994,97,35,medium,run11,client
12844.254,615894,831541,2711308,54953,683121,30966,ptp4l[12844.254]: rms 615894 max 831541 freq +2711308 +/- 54953 delay 683121 +/- 30966,99.15200000000004,99,36,medium,run11,client
12846.243,510114,627806,2697179,49337,657749,0,ptp4l[12846.243]: rms 510114 max 627806 freq +2697179 +/- 49337 delay 657749 +/-   0,101.14099999999962,101,37,medium,run11,client
12848.251,169345,238621,2670289,11031,657749,0,ptp4l[12848.251]: rms 169345 max 238621 freq +2670289 +/- 11031 delay 657749 +/-   0,103.14899999999943,103,38,medium,run11,client
12850.253,233222,314370,2704085,10887,545903,8123,ptp4l[12850.253]: rms 233222 max 314370 freq +2704085 +/- 10887 delay 545903 +/- 8123,105.15099999999984,105,39,medium,run11,client
12852.265,601013,789230,2707852,55395,536430,0,ptp4l[12852.265]: rms 601013 max 789230 freq +2707852 +/- 55395 delay 536430 +/-   0,107.16299999999865,107,40,medium,run11,client
12854.26,185005,259354,2669152,11373,556155,80,ptp4l[12854.260]: rms 185005 max 259354 freq +2669152 +/- 11373 delay 556155 +/-  80,109.15799999999945,109,41,medium,run11,client
12856.263,161557,185060,2667535,2646,508861,27273,ptp4l[12856.263]: rms 161557 max 185060 freq +2667535 +/- 2646 delay 508861 +/- 27273,111.16100000000006,111,42,medium,run11,client
12858.258,568953,804119,2722970,41641,655778,38987,ptp4l[12858.258]: rms 568953 max 804119 freq +2722970 +/- 41641 delay 655778 +/- 38987,113.15599999999904,113,43,medium,run11,client
12860.263,332519,467963,2662903,25950,724240,40894,ptp4l[12860.263]: rms 332519 max 467963 freq +2662903 +/- 25950 delay 724240 +/- 40894,115.16100000000006,115,44,medium,run11,client
12862.268,877363,1207582,2730939,74776,765134,0,ptp4l[12862.268]: rms 877363 max 1207582 freq +2730939 +/- 74776 delay 765134 +/-   0,117.16599999999926,117,45,medium,run11,client
12864.271,718503,887505,2754922,19388,804798,39664,ptp4l[12864.271]: rms 718503 max 887505 freq +2754922 +/- 19388 delay 804798 +/- 39664,119.16899999999987,119,46,medium,run11,client
12866.269,516149,715483,2714813,43361,875274,21788,ptp4l[12866.269]: rms 516149 max 715483 freq +2714813 +/- 43361 delay 875274 +/- 21788,121.16699999999946,121,47,medium,run11,client
12868.277,435707,601887,2723985,23430,878903,0,ptp4l[12868.277]: rms 435707 max 601887 freq +2723985 +/- 23430 delay 878903 +/-   0,123.17499999999927,123,48,medium,run11,client
12870.274,392275,552233,2656774,25243,887278,8375,ptp4l[12870.274]: rms 392275 max 552233 freq +2656774 +/- 25243 delay 887278 +/- 8375,125.17199999999866,125,49,medium,run11,client
12872.27,308151,434918,2663385,20585,766625,59930,ptp4l[12872.270]: rms 308151 max 434918 freq +2663385 +/- 20585 delay 766625 +/- 59930,127.16799999999967,127,50,medium,run11,client
12874.266,405234,534119,2648725,16587,826555,0,ptp4l[12874.266]: rms 405234 max 534119 freq +2648725 +/- 16587 delay 826555 +/-   0,129.16399999999885,129,51,medium,run11,client
12876.284,350634,494583,2662395,26762,846675,34849,ptp4l[12876.284]: rms 350634 max 494583 freq +2662395 +/- 26762 delay 846675 +/- 34849,131.18199999999888,131,52,medium,run11,client
